Pachyderm Acoustic Simulation Results
Saved 23.12.2024 23:58:07
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,22200325517143954;0,2736740011458835;0,2409585882245232;0,3456637697115495;0,4310082617019058;0,4036947815283918;0,40558236621554244;0,38156477037500114
Reverberation Time (T-10);0,26906971875431734;0,32835161414193736;0,39788916293110677;0,42098856039751376;0,42714581012301944;0,40727727366117916;0,4078892666690343;0,38751759350099574
Reverberation Time (T-15);0,2505487196090269;0,30743283415923095;0,39359719910483326;0,43998282231481084;0,45050127722838923;0,43288319993572616;0,4304370629929741;0,41682916737436826
Reverberation Time (T-20);0,2610563911332174;0,3221917377672698;0,3997407923546349;0,45043049406581825;0,4612950120240099;0,4423462157738984;0,4403657336627876;0,4286098981182589
Reverberation Time (T-30);0,26950109675124967;0,3296240924433485;0,4115454816143698;0,4478746859941201;0,4556593325602264;0,44048397502556746;0,4386875200060727;0,4322025029916715
Clarity - 50 ms (C-50);19,007558198662537;17,589152502324982;15,181384025912944;13,998101233467395;13,35409766126084;13,093062531559864;12,999237539168806;13,376757903038323
Definition/Deutlichkeit (D);98,75886147955737;98,28768424534107;97,05635407171496;96,16973946172732;95,58452120993209;95,32377930731172;95,22652991859954;95,60649034137768
Clarity - 80 ms (C-80);24,991122344452513;22,36923356676452;19,180808992408863;17,655704369124393;16,91477193426249;16,694887130484474;16,670272020103074;17,13146760184559
Center Time (TS);4,289349028258421;4,329718987511857;5,769133289644932;6,82044706437814;7,736438373714453;8,572010861252629;8,73020479457041;8,28950911029788
Strength(G);12,50096450202549;12,301369805051436;12,414552284513839;12,489150348246632;12,62774840400985;12,839857849542959;12,861297076673665;12,824513807790005
Lateral Fraction(LF);9,023416814383157E-09;9,828931670609348E-08;3,5463051788525985E-05;9,615700856603163E-05;0,00010568415645303305;3,7403497503536815E-05;1,5046860570178343E-05;4,792470573950158E-06
Lateral Efficiency(LE);3,981375243102036E-09;4,930639964790497E-08;2,0001318063457754E-05;5,71494511470472E-05;6,264579682402321E-05;2,1546897972355585E-05;8,721768634635872E-06;2,6297527478583836E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,28004275790785815;0,26755616297681395;0,282497724058289;0,3379889295949537;0,3430565377240487;0,35888722597058476;0,3473800829873286;0,28776061259825697
Reverberation Time (T-10);0,2685103893633649;0,3082794431207604;0,36808756829811917;0,4323930921719648;0,4404971646922128;0,4081398418214871;0,4069904121372401;0,405427299808808
Reverberation Time (T-15);0,27136103181390364;0,30615037185795646;0,40784233660997804;0,4515591385969533;0,473646675119587;0,43906498151344736;0,44289097313192066;0,4607428888996163
Reverberation Time (T-20);0,2768004031026284;0,33398377867964857;0,427800924550959;0,48747133061197867;0,5009054554637391;0,4588706029753706;0,46242880607634657;0,502857028681874
Reverberation Time (T-30);0,29189211442376284;0,35169943555404953;0,4598147916546403;0,5190106462581785;0,5436175258300912;0,47737014737104905;0,48535591258251887;0,5495930062950628
Clarity - 50 ms (C-50);19,072940928532482;18,154793649327562;15,885416315274988;14,808176323890919;14,42403823938857;14,783930118907014;14,548456479641729;13,917625950709901
Definition/Deutlichkeit (D);98,77718000791066;98,49363983591034;97,48580052814617;96,80065793082467;96,51509132122627;96,78332254390479;96,61017543332379;96,1008958051294
Clarity - 80 ms (C-80);25,07411460993884;22,89364081132524;19,702883097105573;18,696225478226477;17,98213697251753;18,36523109641464;18,15001984726378;17,454995816645194
Center Time (TS);3,2327153303724523;3,3723363942984186;4,516843026775341;5,143136322212365;5,606402925609304;5,547840738362128;5,806240203820925;6,706763851558976
Strength(G);15,63615828089178;15,593687003125556;15,67526871468506;15,65280292295597;15,705613571688971;15,734812494890349;15,783872568972562;16,00380213961271
Lateral Fraction(LF);5,668929962076699E-09;6,856951180075404E-08;2,4123569990185316E-05;6,383141009340476E-05;6,564547506863031E-05;2,251999973072252E-05;9,152482830345597E-06;3,1423913892975235E-06
Lateral Efficiency(LE);1,96781957731315E-09;2,5095862345362597E-08;1,0104741180684422E-05;2,980240306495528E-05;3,062874298322804E-05;1,0459148169652577E-05;4,2328603903972596E-06;1,4021794014721838E-06
Receiver 2;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,5746485495675802;0,5403342473079058;0,5390669390774593;0,8478344897941087;0,9707682302541982;1,3363878367317974;0,7570182491063419;0,2769699321846155
Reverberation Time (T-10);0,2567801941256992;0,2484105420607786;0,32020601797248605;0,4265946503757669;0,4227128278804971;0,4034145177140653;0,3921674283964401;0,414663707405341
Reverberation Time (T-15);0,283357380225407;0,30572975343365805;0,4086265817277183;0,47376849653334957;0,46971806253694254;0,4392616541586594;0,4297511545329507;0,4838377082594607
Reverberation Time (T-20);0,28491601449777076;0,3357808973514522;0,43673582230289565;0,5118410196526375;0,5182733044512902;0,46440984725619106;0,47064926921307537;0,5337593713791632
Reverberation Time (T-30);0,2994062967016871;0,3706791496021953;0,49957620902956107;0,5755014571557191;0,6285861348617483;0,5065486654818522;0,5521183544241308;0,6079229366041164
Clarity - 50 ms (C-50);20,135165461945764;19,453746382863763;17,176709169491915;15,911607498170628;16,172422327067814;16,761643491979864;16,79757340167245;15,160610861553856
Definition/Deutlichkeit (D);99,03994996874742;98,87868394831439;98,12030250983346;97,5005395495937;97,64279173455253;97,93568198444434;97,95234171538371;97,04265769569548
Clarity - 80 ms (C-80);26,197267016446453;24,234951458305837;21,16498377234176;19,855997846662774;19,834245524242636;20,52253072130822;20,45593230994526;18,56644677087385
Center Time (TS);2,285481517584535;2,3866939129731706;3,2750186611974947;3,760096034594963;3,73808379780982;3,3668947743766178;3,504651633866594;4,849741615442683
Strength(G);19,529535795035123;19,530626477138778;19,57788293714468;19,557913225722785;19,55035389973328;19,51848950322305;19,555449550940537;19,793972093392185
Lateral Fraction(LF);4,5455306776903805E-09;5,4472003703707664E-08;1,897849301893673E-05;4,98722016759221E-05;4,683444211410367E-05;1,5127113178345E-05;6,31554074373794E-06;2,4502695777789037E-06
Lateral Efficiency(LE);1,378560087079323E-09;1,6126383210401152E-08;6,821819697007653E-06;1,932946727447884E-05;1,799726000004502E-05;5,522384608933905E-06;2,278549904493817E-06;9,071149730397201E-07
Receiver 3;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2641841651290507;0,22925210209482477;0,25683171604047494;0,2705028529985785;0,2799187676079382;0,30845383380368396;0,30186736151912075;0,31453074595892444
Reverberation Time (T-10);0,2611924894465822;0,2697630901465049;0,3674087595593055;0,42437822217386106;0,4328673593478474;0,4000996245297244;0,39177459915176904;0,4510023824543459
Reverberation Time (T-15);0,29434393764060524;0,32751307045673156;0,42343410275111354;0,4991464334552633;0,48524965265798103;0,432771224740401;0,43270104059782616;0,5249998108268604
Reverberation Time (T-20);0,2979369625728358;0,3560895566453169;0,4633812029695901;0,538419410659165;0,539666571334777;0,4710464218891767;0,48316146006193517;0,5762518556721756
Reverberation Time (T-30);0,32005082193322304;0,38873621804945896;0,5300367846972452;0,6427082478016038;0,6714246925893778;0,5776864148297921;0,6101644232043649;0,6703958378882965
Clarity - 50 ms (C-50);18,175955253154992;17,30024481172357;15,092238245909517;14,38439462995202;14,458926069455915;15,43041407277693;15,410078029619065;13,459769835350524
Definition/Deutlichkeit (D);98,5020390899324;98,17424607375402;96,99975946339373;96,48542821374272;96,542834768908;97,21672634648901;97,2043066378296;95,69357590983122
Clarity - 80 ms (C-80);24,138466297624575;22,237843912246156;19,190155814447078;17,923624151302676;18,133922982491537;19,412962313021634;19,333846964809197;16,830564331132514
Center Time (TS);3,3156040328753766;3,5985147429880495;5,0478606631334335;5,560090877278263;5,513652898854996;4,481466060204422;4,690738858934649;6,8742410200909205
Strength(G);19,797815014756054;19,87675707456373;19,96476682609041;19,918192369897845;19,877294427044;19,750974023835546;19,80413969323503;20,214193892109805
Lateral Fraction(LF);7,744539340047577E-09;9,904156028929546E-08;3,593880196923403E-05;9,000679188149011E-05;8,61019050336549E-05;2,4770561406683635E-05;1,0178317108924116E-05;3,9794512542045205E-06
Lateral Efficiency(LE);2,276750658578595E-09;2,9151938079512176E-08;1,2207832941248191E-05;3,0011006721126918E-05;3,286606515177421E-05;8,292583920269374E-06;3,472207392486368E-06;1,5000812558728286E-06
Receiver 4;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2596113031508305;0,2548927910351401;0,3544671543053069;0,3645867219899445;0,3853841471612591;0,3559703059989964;0,3519918541090385;0,4357957045734203
Reverberation Time (T-10);0,296485203860819;0,3458643282448696;0,41902101129088504;0,4762806653290099;0,4707832004813902;0,41653062300720667;0,4204602473631901;0,5267482257907714
Reverberation Time (T-15);0,2953456882718151;0,3502969342276189;0,45930034418659044;0,5187979618091877;0,5574142260703977;0,4645087934921762;0,47485910611741167;0,5751302594464177
Reverberation Time (T-20);0,31048623469531245;0,368115509257478;0,5008295046779282;0,5639403525621305;0,6072639147607602;0,5154641357259856;0,5493503082842454;0,6204964527023045
Reverberation Time (T-30);0,3328814134008579;0,4046233448858277;0,5815734644275914;0,6923267122331277;0,7305680866914184;0,659052535639937;0,6842660433750498;0,712473215895502
Clarity - 50 ms (C-50);15,167250754669775;13,61667274734801;11,710798366689826;10,976190981535556;11,119276616573703;12,119429946395947;12,041025353761432;10,31590265002962
Definition/Deutlichkeit (D);97,06274144491474;95,86248645037479;93,7162037620657;92,62072155767953;92,84060185351834;94,22965638157763;94,14008061011579;91,62631828489113
Clarity - 80 ms (C-80);20,848429770602323;18,85080851635974;15,795681638775056;14,698076318015314;14,735264381320505;16,052844149582242;15,820384262576573;13,582432112111533
Center Time (TS);6,59664140912566;7,704874543141211;10,658590531397268;12,009030727552318;11,813455859149093;9,682631835494735;9,947030805176416;13,54264018445263
Strength(G);16,540258863503606;16,89105743403208;17,17410378438168;17,293487571077137;17,09913530808486;16,656810866840473;16,741574837949983;17,346555729747635
Lateral Fraction(LF);1,4971140367798938E-08;2,176917243016314E-07;8,127079704779312E-05;0,00021529442174980545;0,0001994261351100335;5,306174028739546E-05;2,121508750442185E-05;7,996264103968776E-06
Lateral Efficiency(LE);5,20722570548388E-09;7,504539547774937E-08;3,1144209515137836E-05;7,67910300883434E-05;7,896502964292965E-05;2,0296949702345133E-05;7,95995856378642E-06;3,4064386127161634E-06
Receiver 5;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2665663757258118;0,2855876122175503;0,3635723911565815;0,39642419448317556;0,4085470500968692;0,37188634335604676;0,38035117289995424;0,43802466285020863
Reverberation Time (T-10);0,2828046999545023;0,3340777086714374;0,4156104538797483;0,48353893173216694;0,49952387104587986;0,41560102390330106;0,4327586907607103;0,49826882613989154
Reverberation Time (T-15);0,28323659084972225;0,34087563651127156;0,46179502915758763;0,5204384668662729;0,5594850858824149;0,4712143285284714;0,48830663503584254;0,553482410448543
Reverberation Time (T-20);0,2982113547897934;0,36010439777650527;0,4929284186228747;0,5664944399765847;0,582773650666559;0,5103058769483785;0,5333074897021342;0,5910147793588537
Reverberation Time (T-30);0,32476529040945423;0,3869995993305285;0,5489745909124926;0,6574100317833208;0,677722272124937;0,6040814298799636;0,6176812768826399;0,678940688681528
Clarity - 50 ms (C-50);14,968042178099711;13,165073960154015;11,097617517208304;10,096815268297227;10,200410464774837;11,078076289360226;10,784524417049376;9,543544111918678
Definition/Deutlichkeit (D);96,9218796421453;95,41147114188536;92,80766227650314;91,09605340848294;91,28951790850128;92,76881391432916;92,30622166970657;90,06203640328127
Clarity - 80 ms (C-80);20,8452812158496;18,48675851661352;15,210810954259985;13,960058120149965;13,742152690347961;15,166884262052967;14,90960704595702;13,247212966426856
Center Time (TS);7,678646172824007;9,190023632393672;12,76957779311533;14,410751526904564;14,430108674304076;12,637858442739402;13,010134869499794;15,915434503423768
Strength(G);13,389004474991847;13,75059215123975;14,197941751792726;14,401465153076273;14,233586458212628;13,862832248661377;13,94554527912885;14,241048745867104
Lateral Fraction(LF);1,4730461366812169E-08;2,482987508603486E-07;9,633876993072527E-05;0,0002441751631903259;0,0002270621022784564;6,837854796435056E-05;2,5351497287946917E-05;9,15177417990565E-06
Lateral Efficiency(LE);6,397165316107503E-09;9,711734179124286E-08;4,068313694300243E-05;0,00010584106585000872;0,00010087196896781879;3,118830325023456E-05;1,2517517904601387E-05;4,5960926160758E-06
Receiver 6;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2724257462543105;0,3925758715759433;0,5618342954129707;0,5933720324226498;0,570893956109549;0,49859884103692076;0,4924448542119904;0,4828964021639672
Reverberation Time (T-10);0,3038355140669331;0,38960191739664296;0,4109872403300725;0,42359298724055;0,42594139635904393;0,4064772091966703;0,4048232893813118;0,3938631894664138
Reverberation Time (T-15);0,2597994767270136;0,30972867934636233;0,3676129161777795;0,40390343084053537;0,41619533833828115;0,40374033551228705;0,4029545430213434;0,39253775353047893
Reverberation Time (T-20);0,2501327710775125;0,30318223570550906;0,36561470387605705;0,41185587607842544;0,43021704147683687;0,4107570011807069;0,41228132692532266;0,39905960318030476
Reverberation Time (T-30);0,25068248273632326;0,3192440977069257;0,3989025848482003;0,4338723160389192;0,43960212333174603;0,4249869800658329;0,4255802372823039;0,418501683220346
Clarity - 50 ms (C-50);17,302790027616627;16,02308053968233;13,745062189940253;12,656361710170433;12,037213231609186;11,761374276683185;11,72318295869915;11,991692408470422
Definition/Deutlichkeit (D);98,1731052599672;97,5623343966576;95,94925067390963;94,85456534412643;94,1125629384421;93,75062286454127;93,69890238561837;94,05421730278843
