Pachyderm Acoustic Simulation Results
Saved 24.12.2024 00:31:50
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,21999058487455245;0,2816727570485737;0,32086031422165706;0,4087165382042378;0,4163838972928404;0,3932740525725981;0,3951144931211628;0,38195838951801814
Reverberation Time (T-10);0,2740988343725184;0,3155046331932925;0,3749887657483691;0,374891132655538;0,3824770464987941;0,35873792062374793;0,35615986721855086;0,3539330703117064
Reverberation Time (T-15);0,23635548025008937;0,27084788109198915;0,34233094119494395;0,3760401207774221;0,38808641273983263;0,372955791554304;0,37477255990599695;0,3644504770978759
Reverberation Time (T-20);0,23840429854857453;0,28453560859141624;0,348160557843585;0,3990536263003958;0,41385710225951444;0,3985709110931993;0,399751856641749;0,3891090735319365
Reverberation Time (T-30);0,2483851124630407;0,30370847751800917;0,3707359758207567;0,4268062722550796;0,43556329457002035;0,4173851582828145;0,417867068964267;0,41143878163724223
Clarity - 50 ms (C-50);19,27344138666465;17,847559700638847;15,416229883185215;14,327709292128517;13,706728749593802;13,471498497131888;13,359461278655505;13,664772100876379
Definition/Deutlichkeit (D);98,83170598108623;98,38499856133325;97,2069773936644;96,43971322492293;95,9148051665569;95,69721686434247;95,58973068983552;95,87678253010708
Clarity - 80 ms (C-80);25,5926002776105;23,10043494419513;19,884411224032938;18,472750355256128;17,703345408295796;17,531952143215708;17,429754423926816;17,886443007884168
Center Time (TS);4,860200048384446;4,745947459259829;6,230672338835787;7,20182675430191;8,029371588890129;8,830570329740093;8,990231614350378;8,630330175489929
Strength(G);12,58697799354244;12,408229915481744;12,536443744006796;12,644421139317373;12,760296247369098;12,97005479937566;12,986695105495109;12,944363573471307
Lateral Fraction(LF);1,0111078021476996E-08;1,091322672000657E-07;3,9543483513678976E-05;0,00010844167081443075;0,00011681991729181821;4,0536463838805465E-05;1,6332860573006657E-05;5,133375866356586E-06
Lateral Efficiency(LE);5,207505940869301E-09;5,523867020611105E-08;2,3012010192852397E-05;6,521493268379545E-05;7,090547759332429E-05;2,3999039928075435E-05;9,716084877863215E-06;2,972802609912665E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,27986863336021084;0,2480479436875748;0,36305694289916857;0,359664293700337;0,3883428012839158;0,3897334421104364;0,3571676844812214;0,3258615595845151
Reverberation Time (T-10);0,29071630018959793;0,313214445239009;0,39481116278683;0,41493037206263267;0,41286614323779247;0,40139602622297693;0,39539878203622264;0,3867956225620685
Reverberation Time (T-15);0,2619342783842765;0,28997358825286895;0,37191237135214006;0,42256834957576805;0,42917110809107184;0,38412601297454807;0,39747879970397726;0,42054259048015546
Reverberation Time (T-20);0,25685843817238657;0,3091674721072671;0,3849140397578403;0,45452387363284547;0,4635123075888783;0,407325231313623;0,41921171683503283;0,466405609405004
Reverberation Time (T-30);0,27588699870382777;0,341119592692664;0,45193704866624823;0,5182893338078286;0,5279042345803776;0,482733419107408;0,4701560616293319;0,5570799642006622
