Pachyderm Acoustic Simulation Results
Saved 22.12.2024 16:32:15
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,23206834517084118;0,2921310770493672;0,26878379299676264;0,2966107842676828;0,2969324412861645;0,34942970347656527;0,3534047571011473;0,3355986604552132
Reverberation Time (T-10);0,2558994689136959;0,30326460712026465;0,3704356026056712;0,39053670552710823;0,38665667632975753;0,3720597423626822;0,37249589066513966;0,36381749007430303
Reverberation Time (T-15);0,24330159515850444;0,28256939008141085;0,34075138413468126;0,3822451944555437;0,400068632961214;0,3900820908351667;0,39039459145645045;0,38096203104359705
Reverberation Time (T-20);0,24264669098578043;0,29257016820391885;0,352720279891748;0,39433255320503036;0,41104490063792326;0,3900524785105133;0,39243015915129037;0,3839261392711205
Reverberation Time (T-30);0,24940209154594245;0,2981068944496509;0,367445895083052;0,4057686158225915;0,41726123554169425;0,39669505894430845;0,39674959322993586;0,3932276657120538
Clarity - 50 ms (C-50);19,457490208647904;18,19472246572567;15,994208952085442;14,833045173863031;14,384567806296435;13,80260056626038;13,660827777047448;13,951201083243996
Definition/Deutlichkeit (D);98,8796393347123;98,50721997128016;97,54647391259245;96,81834463335639;96,48439325145145;96,00043159558209;95,8731906742047;96,12976126320943
Clarity - 80 ms (C-80);25,51595335186795;23,195458192892286;20,096207909395936;18,70224916985308;17,959956728813072;17,51964239941329;17,4081227910741;17,80662598815189
Center Time (TS);4,167903248293892;4,185897679640187;5,4498133803032065;6,333326084663905;6,9335697027964835;7,904557178654905;8,072056039154894;7,768011025351107
Strength(G);12,496962934566998;12,330323563464809;12,454120647493625;12,5238411814845;12,627137318043332;12,849928206920978;12,862172504390777;12,8330537695808
Lateral Fraction(LF);8,542030220464474E-09;9,537308881462374E-08;3,480700052248983E-05;9,44418944034175E-05;0,0001013091775266493;3,643034283776854E-05;1,4681004238874953E-05;4,615966981428362E-06
Lateral Efficiency(LE);3,990702500854745E-09;4,67355113977895E-08;1,91340072497103E-05;5,4892374709179614E-05;5,8425510863550624E-05;2,0530801256885373E-05;8,372570553652201E-06;2,5554818329142786E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2993429251251552;0,27883236621969687;0,32455577269518776;0,40681699603867183;0,3762773976589928;0,3762972879435936;0,3665250629559361;0,2996992946631354
Reverberation Time (T-10);0,2548360143652364;0,2913398540263618;0,3796929570810756;0,4196639673785355;0,4308731451987387;0,3967694620114848;0,3966318533560612;0,3956599041893231
Reverberation Time (T-15);0,26412844418552944;0,3019367308287354;0,39082668721995006;0,4339934597147435;0,46565490069245646;0,4269050413274762;0,42203174568027085;0,44572180411335843
Reverberation Time (T-20);0,2679974778500811;0,32342539007298216;0,4037388210594449;0,45907270862632094;0,47870597036229484;0,43800282306545263;0,4312657957910527;0,47354844736166907
Reverberation Time (T-30);0,27238083295584586;0,3443343494383688;0,4407106954905638;0,5008157485112746;0,5359863971896464;0,4587157103466028;0,45460132967806466;0,5510481708823294
Clarity - 50 ms (C-50);19,41409843217506;18,00713361382761;15,869894442565212;14,894343791147941;14,515778891421505;14,776763235339434;14,64474958190311;13,947324321093564
Definition/Deutlichkeit (D);98,86851663056345;98,44235447787739;97,47702570986996;96,86153725190547;96,58544740400019;96,77818104909488;96,6820422066366;96,12643880668593
Clarity - 80 ms (C-80);25,0872200130112;22,86579388478006;19,875209232374683;18,560933962575906;17,803938021887564;18,17895236789205;18,22085477090594;17,405956770436454
Center Time (TS);3,1530033615499433;3,416616767745726;4,482894253152196;5,075296384106286;5,450104703770268;5,461026928258981;5,612273055138585;6,550588308176774
Strength(G);15,623371379390068;15,617566030937503;15,659417799932086;15,644260070407341;15,696292788791425;15,747915858614661;15,788607442972292;16,008623618961316
