Pachyderm Acoustic Simulation Results
Saved 22.12.2024 16:48:14
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,27080214139441644;0,3643898975454488;0,46765505587844425;0,494369044505746;0,4931363624198243;0,4721121261396115;0,46654354616763205;0,45627535503648886
Reverberation Time (T-10);0,31680550550991426;0,3714092947401937;0,39816551608106476;0,40474305003253613;0,417293615380499;0,40678933818787;0,4064841044525628;0,39471318937130584
Reverberation Time (T-15);0,27520195796494656;0,31912331972039176;0,36038356402804117;0,38048708849714813;0,3924528016257285;0,38515472258564615;0,3850480608664269;0,3744133683554705
Reverberation Time (T-20);0,27089720857242366;0,2966118902886721;0,36772446150034316;0,40878004243769755;0,4211476903269468;0,4135918370963454;0,4137209567179445;0,4037859403031103
Reverberation Time (T-30);0,26958736851441545;0,31546640725195274;0,38472358525448325;0,4136467804322682;0,4241219097798177;0,4176275081360488;0,41485541320712355;0,4106446168662906
Clarity - 50 ms (C-50);16,848158916350247;15,649170462173629;13,428434007764178;12,382350093525872;11,919731807131587;11,851373470989003;11,786577362162918;12,182137027809345
Definition/Deutlichkeit (D);97,9755739155035;97,34897194778853;95,656200932693;94,53776570496746;93,96087692272322;93,87094070429532;93,78453677178501;94,2947607646636
Clarity - 80 ms (C-80);25,33086742677832;22,96468622680209;19,693440479436376;18,139514536592444;17,49037620880123;17,459586778064995;17,37214194346006;17,902754664855962
Center Time (TS);5,186698646638926;5,490871173095125;7,590594526409055;8,945329513109147;9,71981567399933;10,018660686094346;10,192626419250551;9,580022612176302
Strength(G);12,46723604462641;12,387128001988387;12,613617628119542;12,758934323126766;12,856122370684048;12,94201600471311;12,977060162484506;12,897581796232814
Lateral Fraction(LF);9,29968330882261E-09;1,0551921084226688E-07;4,112648645218824E-05;0,0001149852011604951;0,00012062563526265664;3,991487481550015E-05;1,608549723938739E-05;4,9578961179000324E-06
Lateral Efficiency(LE);5,470349397010395E-09;6,337254922920043E-08;2,692528174433136E-05;7,681286115798606E-05;8,219480741181858E-05;2,6806352005346137E-05;1,0775975666099545E-05;3,24740687711382E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,3370132547342229;0,30703070896548573;0,35874678590043074;0,3751368295548513;0,4211428625423043;0,4390334529599383;0,42761595500066363;0,38064938662886066
Reverberation Time (T-10);0,3293452536364642;0,3533403825507631;0,4125303500400028;0,4236744854775405;0,43600306542916234;0,42606097536886406;0,4177054073294065;0,4346372185994416
Reverberation Time (T-15);0,2895172538582142;0,3198604981400247;0,38835847945685237;0,4284108328899451;0,43699553453708406;0,41381714478005327;0,4133527720984882;0,4534389873388399
Reverberation Time (T-20);0,28531054911441;0,3167391239156814;0,40223252405398374;0,454619141996605;0,46622177118626773;0,4498834457532361;0,45288025840128476;0,49564402920797335
Reverberation Time (T-30);0,29842920638993675;0,3395225673513408;0,417001448669935;0,4940698903520185;0,5148622256268683;0,4498356089007675;0,4703819644585211;0,557007217950959
Clarity - 50 ms (C-50);17,941130918716425;17,208993513476557;15,088405490464096;14,35371564735365;13,824855133504508;13,9824490769128;13,778817798753785;13,159840215823834
Definition/Deutlichkeit (D);98,41887822850009;98,13396411537283;96,99456828293415;96,4602167590183;96,02006057382077;96,15644167343473;95,97935217334103;95,39184349696025
Clarity - 80 ms (C-80);24,080997668859972;22,62744718664379;19,508446704922868;18,273966857198005;17,73686588919125;18,291317913723315;18,021151258075594;16,982842357839306
Center Time (TS);3,999050961895782;4,113041798248259;5,396494155213093;6,079115454479827;6,682095495127345;6,530463535927475;6,914024009533808;7,780229226525594
Strength(G);15,694653795773696;15,683147461486687;15,7601371552691;15,773296516443153;15,824328231771858;15,812650881358259;15,895464775610343;16,08708082025305
Lateral Fraction(LF);6,543252541109207E-09;7,62925675822712E-08;2,7729218425761553E-05;7,627891370330637E-05;7,703517634542165E-05;2,4642207372672357E-05;1,0396248290072257E-05;3,5045460967551756E-06
Lateral Efficiency(LE);3,0286967675931207E-09;3,466053872046214E-08;1,3695306682196792E-05;3,8378876096342477E-05;4,1537225132046325E-05;1,3454431508271613E-05;5,605000756417115E-06;1,7413907176482954E-06
Receiver 2;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,47108191868290095;0,4342085828355969;0,5719025141420151;0,8043839260653286;0,7647325694976326;0,935112665857124;0,6754734372089517;0,3258612439937746
Reverberation Time (T-10);0,27600267760488373;0,30490846262714594;0,3857753198781063;0,41980414612462463;0,4465901364593914;0,45635828798808453;0,45110471812014413;0,4657136860006185
Reverberation Time (T-15);0,30910918597176906;0,3436332448095597;0,40577406148230144;0,43113896960439124;0,4622847628814967;0,4397812229715467;0,4464760945886056;0,4951340137946649
Reverberation Time (T-20);0,30662943542548887;0,34253777689657394;0,4192570293842554;0,45841654558400624;0,49150574166574174;0,4620607991346119;0,4709013179665453;0,5535329211352356
Reverberation Time (T-30);0,3177295210567528;0,36369673859863866;0,4610586811638706;0,5334473568246217;0,5713540664020003;0,518829635904259;0,5426072172601863;0,6320626756130635
Clarity - 50 ms (C-50);19,154991319346237;18,45817526951105;16,652735071984807;16,16034097267637;15,63317866518056;16,003631150885646;15,730496416751667;14,287071442501409
Definition/Deutlichkeit (D);98,79979095940197;98,59384793268447;97,88436939910108;97,63638044861058;97,33945240667181;97,55166098458268;97,39687291057908;96,40744497300744
Clarity - 80 ms (C-80);24,899946152734884;23,558406068200014;20,688026033459536;20,04840268706996;19,261655528392794;19,99266254632751;19,572915493835506;17,82541145234484
Center Time (TS);2,6324762984371275;2,747966790485342;3,650533041784291;3,921592282888909;4,306818138433408;3,945468991769673;4,230533057113954;5,633090026097155
Strength(G);19,556145175362868;19,547474552969277;19,623307043253654;19,61098022549288;19,636861807558958;19,57823246136259;19,624350255811876;19,8440926774706
Lateral Fraction(LF);4,604159403581539E-09;5,544294955269062E-08;2,1431154059327695E-05;5,326753719354516E-05;5,689874847344861E-05;1,639065191606923E-05;6,812684647846843E-06;2,5071689810398067E-06
Lateral Efficiency(LE);1,5105355631177007E-09;1,9634502928213998E-08;7,410156163141579E-06;1,891609963753609E-05;2,027010259314137E-05;6,3191682710828265E-06;2,705511493421973E-06;1,0232841505829597E-06
Receiver 3;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2522804067046643;0,21121870635217715;0,2639218293074774;0,2834009829880928;0,30852326180943646;0,2733397644543789;0,2920421076517737;0,34397386563653826
Reverberation Time (T-10);0,29219469381990054;0,30195769864299343;0,36782681626000147;0,4144716261345227;0,438382418230391;0,419102995076478;0,4293645765853714;0,4928333243981144
Reverberation Time (T-15);0,3182793918459524;0,3361105896196374;0,41262557285973017;0,4626769384761707;0,49069488444761666;0,45361521173352504;0,47025078692062855;0,5448285756157735
Reverberation Time (T-20);0,3224926234665794;0,3473055571944596;0,4464532316484536;0,539655829771932;0,5428329032061263;0,47954917463146923;0,5212195908530122;0,6065007730204854
Reverberation Time (T-30);0,34035421116479325;0,38110002509997354;0,5149526917715154;0,6380263210431664;0,6644128227019377;0,5967606675008431;0,6547893722212805;0,6989965516859278
Clarity - 50 ms (C-50);17,35326281290731;16,92896874586181;15,131855104130237;14,686099623867651;14,220462831424204;14,830308700192214;14,548046333468779;12,736658034057351
Definition/Deutlichkeit (D);98,19556957811025;98,0145437392477;97,02632172196341;96,71389962286497;96,35514511815755;96,8171446256724;96,6109265400281;94,95228160145284
Clarity - 80 ms (C-80);22,892354379247916;22,05276384584343;19,226304200509084;18,391433527493714;17,650354485145364;18,718705150295886;18,083755809093333;16,101891633432135
Center Time (TS);3,7023177937012783;3,9295516372792143;5,173482431127652;5,512201657457492;6,047798439438388;5,166784326211578;5,6021099545270445;7,8808492056496595
Strength(G);19,860493240022095;19,956077051193247;19,979565024639925;19,914965813217044;19,951196903898982;19,85951637244728;19,915910187528652;20,305608301721833
Lateral Fraction(LF);7,664469112906164E-09;1,1019126550084638E-07;3,9237906958312194E-05;8,83209954751319E-05;9,443875508491904E-05;2,7432016223560934E-05;1,1616719703473279E-05;4,368707730027853E-06
Lateral Efficiency(LE);2,3591352413437773E-09;3,327425720748989E-08;1,316241899424701E-05;3,3562130246332574E-05;3,5903677373835284E-05;9,597655348545027E-06;4,14207561994625E-06;1,7434451817713213E-06
Receiver 4;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2641742663152845;0,2610362790397063;0,35592725674916703;0,3819601894047529;0,4233502860193317;0,3982908228262226;0,3988719719063781;0,4654152040850278
Reverberation Time (T-10);0,32433838683802807;0,34124170261502;0,42089328685319155;0,46283446455960975;0,5025712495724548;0,4582834477867879;0,4668814961369621;0,5591571278177386
Reverberation Time (T-15);0,3288204376143926;0,3536748474957513;0,44919399514876357;0,5132871586930929;0,5426873286638864;0,486375081618846;0,5027938875556249;0,6172359201989246
Reverberation Time (T-20);0,33638094178921046;0,36638817880859303;0,4811565423649708;0,5702482644350473;0,5817202064762467;0,5212602943042597;0,5662794329324152;0,6729825872418888
Reverberation Time (T-30);0,3533898611564908;0,4004449208683932;0,5432606463459819;0,6729774375670806;0,6926829361263642;0,6683313663087944;0,7211388743771031;0,7408157314558357
Clarity - 50 ms (C-50);14,21329766763259;13,610515734112145;11,659801214567203;10,921360796042832;10,65200709849228;11,26452627673789;11,081000354269879;9,674212740894074
Definition/Deutlichkeit (D);96,36733368920837;95,85491844327937;93,63742312818573;92,53465207722617;92,09651520635981;93,0599067274465;92,79132238182012;90,37787323552732
Clarity - 80 ms (C-80);19,67835849353468;18,718899730467445;15,952381663833384;15,072430798608467;14,22139907113529;15,162542762642644;14,834892189269851;13,045864227093936
Center Time (TS);7,268258922682849;7,988623527439665;10,546122650522209;11,589054394608366;12,415018583383082;10,928976699079737;11,512112562377176;14,994574825436539
Strength(G);16,737336858783884;16,974289793411412;17,152943973303152;17,159173527504485;17,12815273308525;16,939466019197212;17,026136452629558;17,569401369997102
Lateral Fraction(LF);1,6614175555021123E-08;2,3302209154881808E-07;8,051846653963125E-05;0,0002075481038900309;0,00020373000074576231;5,797159127412979E-05;2,4422188010926073E-05;8,942156546761831E-06
Lateral Efficiency(LE);5,529008661787459E-09;7,936882396592451E-08;3,048576047328933E-05;7,720553642706259E-05;8,647318374272E-05;2,348604417071163E-05;9,460820362029206E-06;3,664754697134697E-06
Receiver 5;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,3048720065986692;0,3231560685415018;0,3993519394157579;0,45249069323882285;0,4575298693376891;0,44758941245028916;0,45026572431968687;0,47986392829024205
Reverberation Time (T-10);0,3298781605744196;0,3598970911045104;0,43574921599428684;0,47880754903375417;0,49811812976422465;0,4757844670064829;0,4715069636051831;0,5381167963500779
Reverberation Time (T-15);0,3301441758431827;0,3643849858737229;0,43422557341389506;0,4719145363753355;0,4941107019538011;0,4588148228359303;0,4667320402340569;0,579952091195772
Reverberation Time (T-20);0,32507914164581964;0,3558467672918308;0,4611145078604502;0,5217308222594913;0,5326036985511675;0,5078637212515535;0,5311049441627549;0,6360909553420007
Reverberation Time (T-30);0,33649613658173155;0,38207435065405815;0,5165078639724999;0,6172568160466979;0,640422905054158;0,6385854617169459;0,650001081542885;0,7160350394869721
Clarity - 50 ms (C-50);13,571409071677628;12,499535667993129;10,574620037736889;9,716662476800375;9,687082107957329;9,93075164070554;9,801318935122659;8,87074486598976
Definition/Deutlichkeit (D);95,79981298555641;94,6860921408685;91,94991277174823;90,35828860749929;90,30222567034201;90,78042260606973;90,53537150932611;88,5643663453961
Clarity - 80 ms (C-80);19,147820008944205;17,51055099108853;14,915765287046323;14,074731301988244;13,39817679296607;14,034224693530772;13,916109823372322;12,460238854846448
Center Time (TS);8,657135893457392;10,02977357360011;13,238371504659046;14,465923134158249;15,504519912797111;14,527478326751227;14,896785864931907;17,666318750039302
Strength(G);13,540784882106792;13,822563426809062;14,193420440425946;14,327551870339946;14,301250194369182;14,216981127825228;14,20534436013471;14,504026558899227
Lateral Fraction(LF);1,864051982132894E-08;2,6394680591799264E-07;9,44179377053422E-05;0,00024065132105093582;0,00024069632410680377;7,107735037978219E-05;2,9832797539095615E-05;1,0083584989443396E-05
Lateral Efficiency(LE);7,457003738592151E-09;1,0860229938950205E-07;4,1945158178783107E-05;0,00010994974414254079;0,00011630404104322323;3,477454251686593E-05;1,401381603467685E-05;4,657760572464472E-06
Receiver 6;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,3797519703176343;0,46606181742512465;0,5854609261822715;0,5692294244651833;0,5854631334075004;0,5596695198586897;0,5558706972771803;0,5299493148473076
Reverberation Time (T-10);0,3311448580141033;0,4111901973551053;0,4280193695098432;0,46086907227138735;0,4719159965269411;0,4588950566952802;0,4581262262371547;0,4440994267836042
Reverberation Time (T-15);0,28494912976465014;0,3496759415089866;0,4005878266959365;0,45901569287736443;0,47560107830898274;0,4648771446535005;0,4625908603374211;0,4466981347956313
Reverberation Time (T-20);0,27035114834836;0,3477951241481479;0,4216825326369534;0,4676372760447607;0,48120902435209184;0,47197585484773075;0,4706330739852857;0,4598277039919378
Reverberation Time (T-30);0,29186069487251487;0,3597024705513224;0,4162536367535158;0,4409057838577996;0,4412927033890909;0,43453389529274666;0,4339004951999101;0,4330442789154919
Clarity - 50 ms (C-50);15,849784446040358;14,412849038760683;12,094943958366972;11,01447088838656;10,535063665062491;10,475688769344416;10,37733694293715;10,79145829634264
Definition/Deutlichkeit (D);97,46561276250044;96,50641527382855;94,18578652900254;92,66392749948172;91,87727518484887;91,77465915780874;91,60208163293464;92,30711323939123
Clarity - 80 ms (C-80);24,231716951028904;21,64248022944981;18,210479376813527;16,65618638784843;16,006500281134496;16,04178038512217;15,976775711623151;16,467018258255784
Center Time (TS);5,524554133616562;5,7179844967993985;8,317629352236175;10,035425414296688;10,987492260096536;11,280840733237685;11,502665949156993;10,830478404930362
