Pachyderm Acoustic Simulation Results
Saved 22.12.2024 16:16:33
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,23984417729325128;0,3470178029965238;0,32690073459670105;0,40883303388946773;0,4458181243599694;0,4568588558289432;0,4337337524320867;0,3995880972453992
Reverberation Time (T-10);0,2751425055412877;0,35377066234793997;0,38796051053061226;0,3787513315444782;0,40691867833065454;0,415639557803163;0,4007198348823726;0,3791778247627698
Reverberation Time (T-15);0,24509425347809635;0,2971132904416297;0,3377500442301032;0,3608122452024979;0,38752019052584014;0,39261290362320433;0,3836019580738863;0,37344602178578656
Reverberation Time (T-20);0,23419330294293472;0,285419474939074;0,3407431692824481;0,3763597545037518;0,4125120255770172;0,41854403995863915;0,40749531658931876;0,39929952898276827
Reverberation Time (T-30);0,2403254156970267;0,3145854415500321;0,40495606072877555;0,44693556130553935;0,47260190336729235;0,4756384290462572;0,47016165183314756;0,4780394863090664
Clarity - 50 ms (C-50);19,052229877001693;17,83539305578998;15,279051194799003;14,13525317888309;13,748208945223979;13,901981866828898;13,681666087234044;13,80101706258737
Definition/Deutlichkeit (D);98,7714063962391;98,38054120745632;97,11992872585125;96,28438635579248;95,95206588541413;96,08737571966712;95,8921330335316;95,99903138317605
Clarity - 80 ms (C-80);26,452096086330958;24,0662962155232;20,456747924767438;18,973161080527447;18,344598761521816;18,42838110232969;18,309796118320072;18,4309764507991
Center Time (TS);4,5118013702868724;4,1602867743020795;6,009433610901942;7,294527269665635;7,4766471322809425;7,13903717021413;7,645206475212062;7,757941418508651
Strength(G);12,491094422951956;12,218656749206737;12,450496270346555;12,623068680963662;12,581976608748775;12,508375605415331;12,619732820591295;12,685825981788533
Lateral Fraction(LF);8,915316296077222E-09;9,265111446962787E-08;3,656933338701701E-05;0,00010575716195942043;0,00010385507308282338;3,130226774783875E-05;1,3474927595687324E-05;4,432897455028169E-06
Lateral Efficiency(LE);4,61954571941066E-09;5,212031120702751E-08;2,264527411219044E-05;6,747687909924002E-05;6,772539724165738E-05;2,0573015525365266E-05;8,745346422644641E-06;2,747720783718347E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2531273150242783;0,24384551631955578;0,3174783122037171;0,3853368775639408;0,36454014847027383;0,353506820857758;0,36651943934275627;0,3562244078321384
Reverberation Time (T-10);0,2806145410598494;0,31506364861050234;0,3884166179136703;0,4113665480630966;0,4162401132232165;0,45267588301353223;0,43603303853632325;0,5013645840485161
Reverberation Time (T-15);0,27295100243172826;0,3380101515205479;0,4018355078802907;0,43291576517230007;0,445782676623323;0,47204170546258334;0,4670078976792223;0,5651994586378724
Reverberation Time (T-20);0,2754467965899091;0,35083523145186013;0,4105406325755856;0,4454782642947119;0,47531897307457666;0,5041324840059911;0,5209649869608913;0,6224272974154464
Reverberation Time (T-30);0,28889761648340734;0,3730757732633887;0,4532967939762288;0,4978693466375933;0,5447155291581995;0,5866999032660856;0,6010571756756992;0,7210970534126449
Clarity - 50 ms (C-50);18,66306885847248;17,4596132086652;15,377140632646329;14,6943802533655;14,312835031812314;13,938838359938462;13,791615111582288;12,470532005662513
Definition/Deutlichkeit (D);98,65777772211729;98,23675489485775;97,18243645360053;96,71850644172892;96,42793491876299;96,11915662570584;95,99070803246025;94,64167306217853
Clarity - 80 ms (C-80);24,734559623108968;22,055341504898898;19,396960262522786;18,346540014402382;17,823306984530426;17,650093294792196;17,30620070581895;15,38010686193202
Center Time (TS);3,474979327440756;3,593596469897648;5,00213250111483;5,550586546931521;6,004990517746012;6,130756362964874;6,605362593345482;8,722584941146298
Strength(G);15,683433869948347;15,623369505946272;15,755143908338887;15,742529412721069;15,790028430959502;15,770565120341253;15,836813037376174;16,124043834971616
Lateral Fraction(LF);6,149762434019508E-09;7,066056852519545E-08;2,7288944047651413E-05;7,046785190486585E-05;7,470812878460497E-05;2,227504753959832E-05;9,489258144769548E-06;3,3766600858772802E-06
Lateral Efficiency(LE);2,3136032279559193E-09;2,622761358231007E-08;1,1298106683397235E-05;3,290261424784694E-05;3,420437887748581E-05;1,0679394481757553E-05;4,573874585522788E-06;1,5602179156476153E-06
Receiver 2;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,6502601432619637;0,4063129900687021;0,511777020642171;0,7511056509981011;0,572594250820858;0,8263703326403892;0,43775409757403155;0,3923553456898992
Reverberation Time (T-10);0,27038787531542713;0,2737490995141204;0,37719869248289295;0,4067121131551888;0,4230657266090994;0,4512981979356963;0,43347988409396365;0,5667829293313454
Reverberation Time (T-15);0,2879146256069531;0,3347703043166579;0,4408548411129063;0,4651021431842319;0,48926484205628873;0,5013453923832909;0,5034649948284208;0,6430363273624227
Reverberation Time (T-20);0,29091514586755607;0,36271059075215734;0,4573402312303178;0,48227170794171703;0,5168156830108817;0,5371925183900504;0,5600794824083979;0,7003936322631871
Reverberation Time (T-30);0,3032285288270103;0,3916455908324682;0,5109219493327668;0,569227747309433;0,6235961402705332;0,6401315395735766;0,6598477235241083;0,7785836640416703
Clarity - 50 ms (C-50);19,96009123501562;18,34230046212323;16,55788500259903;16,308499806952383;15,425014761272358;15,179843584356023;15,07668584213806;12,937501537240095
Definition/Deutlichkeit (D);99,00085203357067;98,55637408017269;97,83866533331351;97,713842683978;97,21246406138934;97,05534052692055;96,98669174455131;95,16149597174017
Clarity - 80 ms (C-80);25,496031494943967;22,62095875816759;19,955553357475;19,551336671918094;18,676299204896523;18,618782783506852;18,26302300774848;15,443615748368394
Center Time (TS);2,387076919951575;2,8318069509301917;3,628116270020294;3,780153999489904;4,468755739287378;4,51587010724591;4,8434909840640685;7,504338484552717
Strength(G);19,535635849952115;19,588512769122733;19,61253755670448;19,58048992261672;19,649977618514143;19,629388259344232;19,676588971234196;19,943130496821624
Lateral Fraction(LF);4,698245258313974E-09;5,9135206206013903E-08;1,9734349230994015E-05;5,083962549182814E-05;5,675218971670938E-05;1,6417278143535648E-05;6,848685407361031E-06;2,80065520981979E-06
Lateral Efficiency(LE);1,4076736987919773E-09;1,8226875945916197E-08;6,7519346215544735E-06;1,8570942250529046E-05;2,026682552191676E-05;6,219354043998858E-06;2,6451128771957903E-06;1,1242432822379865E-06
Receiver 3;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2565100522967278;0,23291852369747418;0,2536167398084545;0,274308570114463;0,30060278680390173;0,2877117478340423;0,3273220593174758;0,4488680687063721
Reverberation Time (T-10);0,2690844648314429;0,32210814539103344;0,4062122213794706;0,42101041096106023;0,448718830255335;0,47709484017553655;0,47355881928440335;0,620416054027222
Reverberation Time (T-15);0,3001174282034021;0,34395369482870614;0,4498732852201098;0,4568148818167124;0,5032012339488972;0,5125403896587495;0,524307445458255;0,7010796280143737
Reverberation Time (T-20);0,301610551396099;0,3678829368594178;0,48793381986676776;0,5174286076645317;0,5923615069616622;0,5876734452872788;0,6032386683124729;0,7508654424997582
Reverberation Time (T-30);0,32203470510337845;0,404396946676543;0,543391532760301;0,6039389597240808;0,6981927007327705;0,7105083993265049;0,7096843191714469;0,8246429716959096
Clarity - 50 ms (C-50);18,110820726990458;16,293142544526077;14,619181489363696;14,505070763684337;13,760946741052516;13,63226972876209;13,307472113236518;11,032119583779687
Definition/Deutlichkeit (D);98,47984920683966;97,70801757058177;96,66573228651309;96,57913575797734;95,96412940768447;95,84771589002106;95,54099263135744;92,70411704309745
Clarity - 80 ms (C-80);23,881947442951667;21,07691239704058;18,45243217544066;18,371657333536696;17,28100414923175;17,192590233577956;16,767451769303023;13,632420062018442
Center Time (TS);3,3221334962833757;4,292415742132398;5,347245012790044;5,474344295984137;6,3661330308462;6,335361483172985;6,888745888115262;11,20912165502853
