Pachyderm Acoustic Simulation Results
Saved 22.12.2024 22:57:02
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,24422517666546725;0,3527105019372856;0,42453923218502604;0,5023738995644309;0,5193995508973315;0,5131838424564718;0,5065276371312163;0,49447552749308477
Reverberation Time (T-10);0,29867995744587356;0,39202420660079007;0,39747315157914753;0,4189531007704047;0,44066326875354883;0,4378506301389419;0,43986705223257966;0,42855210389824044
Reverberation Time (T-15);0,25739922146904315;0,328648391968107;0,38841581468535263;0,4204354690613904;0,43718656607751893;0,4347157690688329;0,4328353091416415;0,4267528211457595
Reverberation Time (T-20);0,26459298710149876;0,32674418076436135;0,38236005910893944;0,41525549199587974;0,4303722371734248;0,4286213792924548;0,42850906465417077;0,42797019063451147
Reverberation Time (T-30);0,26112582852011085;0,31987681000586315;0,36752018872328995;0,38873991400777375;0,39994136565370453;0,39808520734932523;0,3977954416680987;0,4146547231717618
Clarity - 50 ms (C-50);18,013457271532587;16,684122950535123;14,045230683982153;12,88520156354468;12,386837550837598;12,410246525227198;12,25657251000564;12,483595871701619
Definition/Deutlichkeit (D);98,44458562579781;97,89928458125918;96,2095135339844;95,10574497441647;94,54309895351368;94,57084055187697;94,38626936601575;94,65690713039486
Clarity - 80 ms (C-80);24,661929213839198;22,230045719845215;18,792544867047365;17,238552381112402;16,59155433885545;16,626304141757103;16,544951122723475;16,78665524846234
Center Time (TS);4,772931475521733;4,517356785170152;6,784024063601762;8,217396615905876;8,846946758223456;8,86036461600597;9,118428610241025;8,847513204589367
Strength(G);12,454988334913644;12,194195854814271;12,463902658389522;12,618803423983834;12,673946365526916;12,683388195826865;12,710273485926045;12,672304404443636
Lateral Fraction(LF);1,6400512371683264E-08;1,7635800392396075E-07;7,194589392324321E-05;0,0002025906710096172;0,0002106595514070086;6,685528795965117E-05;2,716304283754253E-05;8,456687312029907E-06
Lateral Efficiency(LE);4,783177729566043E-09;6,180549774856621E-08;2,831686475659938E-05;8,388392276342528E-05;8,82771477303287E-05;2,805480251169405E-05;1,159564165411591E-05;3,5093835462026404E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,29898474385532603;0,2707431615563627;0,2888620179499315;0,35400445059053376;0,4001487833448041;0,38379845417280317;0,40474139619075383;0,4392719808187042
Reverberation Time (T-10);0,3065909743487693;0,35324061029379883;0,42011196206795504;0,45489385682667255;0,4674010990147264;0,46267682453955017;0,47168264432113854;0,567591618412555
Reverberation Time (T-15);0,2883344015378583;0,3379019813702981;0,44176457576906475;0,4895865695497962;0,4990394462680994;0,4973041658288788;0,500790346348393;0,6210721620019767
Reverberation Time (T-20);0,3068721190327912;0,37054551493006743;0,45327447451713143;0,4926885612714835;0,5265973254385012;0,5096288989907068;0,5136720797280147;0,6585313465254872
Reverberation Time (T-30);0,32556745467408943;0,379841984380738;0,46416388538064934;0,5023381509901834;0,5561167767926757;0,5300943070535211;0,548953023678801;0,7466472536256021
Clarity - 50 ms (C-50);17,84331841290707;17,549335988090487;15,285791422998615;14,291757689301628;13,781214902243665;13,971156915575335;13,733491262611102;12,07070745791036
Definition/Deutlichkeit (D);98,38344610122049;98,27218588547039;97,1242666735296;96,41118037531947;95,98148161677193;96,14682054755694;95,93888273201789;94,1551504596766
Clarity - 80 ms (C-80);22,756006923488584;21,439480360025826;18,48581236957003;17,327189061499194;16,753909349638754;16,799935439972195;16,689486269395477;14,438092591430191
Center Time (TS);4,009415535379821;3,583447500973408;5,015776552266794;5,838174577240875;6,514116715662331;6,345564278215143;6,591814426078569;9,376634681026216
Strength(G);15,723431778303258;15,599726533124432;15,694456764248471;15,70687705606774;15,75713475689075;15,737988091499695;15,772438043734041;16,11662414860156
Lateral Fraction(LF);1,1214509222253702E-08;1,272395489599723E-07;4,747049791777878E-05;0,00012498029611400616;0,00013178096981441157;4,137609372792501E-05;1,628684161555262E-05;6,224541783729967E-06
Lateral Efficiency(LE);3,617126954139715E-09;4,4186332524764925E-08;1,730004378056166E-05;4,909114660984488E-05;5,3290577429410615E-05;1,675928457969661E-05;6,88584053329117E-06;2,663071128719823E-06
Receiver 2;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,40854903841535134;0,34257997639443694;0,5468803852211871;0,7682953889873844;0,7587989647901252;0,8762827655629865;0,5039313602131101;0,4406922106875289
Reverberation Time (T-10);0,289602179102745;0,2897266142668736;0,4049912938017034;0,4612863513231736;0,4804651247000422;0,46569960885707823;0,48140606408277975;0,6133119755996479
Reverberation Time (T-15);0,3154620398109782;0,3426890849086963;0,45083901521351694;0,49676822905326173;0,5188758219209577;0,512872139865077;0,5315827064369602;0,7003941421585048
Reverberation Time (T-20);0,33119692880888285;0,3766865126536875;0,4828163213186712;0,5252038987266754;0,5778591225356178;0,5474156284345659;0,5705179697321057;0,7516100719797324
Reverberation Time (T-30);0,3565428055902048;0,4027500036757051;0,5144885400871739;0,577108610924873;0,6475703437117054;0,6127174986356659;0,646501643270206;0,8156347432112526
Clarity - 50 ms (C-50);18,652706733431266;18,24075362116825;16,379497300432668;15,769695255049141;15,18765308393321;15,557806063209789;14,93328057296064;12,61166859676198
Definition/Deutlichkeit (D);98,65461453725523;98,52272598900406;97,75007840379345;97,41965913627459;97,06047535575419;97,29413542535636;96,88867790947626;94,80410594385187
Clarity - 80 ms (C-80);23,505249442005905;22,322692153863855;19,60809796059013;18,93348690220717;18,31466092854504;18,476814148701067;17,862419901444266;14,932255950125066
Center Time (TS);2,8894728770495917;2,8900880194015905;3,82148557539481;4,117237351881436;4,572403550990891;4,393585771582563;4,873209596657544;8,076478562591594
Strength(G);19,595449577515105;19,592365591836597;19,60934949573945;19,581136438250923;19,604584197900074;19,599926799847836;19,64915583312076;19,941467392004924
Lateral Fraction(LF);6,111406548895232E-09;8,37279478095451E-08;2,777490524399207E-05;6,962671066521887E-05;7,364398378689121E-05;2,3907099843602563E-05;9,67000863862408E-06;3,7821113761683E-06
Lateral Efficiency(LE);2,2374812658323713E-09;2,9600751152005824E-08;1,1034333379424577E-05;2,736136459077611E-05;3,0401717553413347E-05;9,223580216014989E-06;3,922620947348333E-06;1,7987516433637366E-06
Receiver 3;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2749416192582251;0,22513880420925914;0,2914940907488044;0,2842122817080071;0,3046784279262908;0,26109992687638023;0,30661890657382956;0,5201958451789465
Reverberation Time (T-10);0,3279108542268227;0,3123839935763528;0,41183719048967277;0,4491094169032901;0,4960570301801695;0,4578296321054283;0,49735317808603985;0,684426505616249
Reverberation Time (T-15);0,34278684627436257;0,35842454766618476;0,46565622128231104;0,5034817368534884;0,5398375047499274;0,5104976439386165;0,5566780174534748;0,7463365366768571
Reverberation Time (T-20);0,3528108446140218;0,38878865792207246;0,5005557120071151;0,5576107519637804;0,602858731536958;0,5809729666790316;0,6194133624926392;0,7897676195648731
Reverberation Time (T-30);0,37129370560225544;0,4186881803896611;0,554009663921275;0,6413979649591104;0,740279579374712;0,7103298284304409;0,7481714201492583;0,8459148074774441
Clarity - 50 ms (C-50);16,290512169837935;16,186108435487125;14,357630592415893;14,070127412367128;13,462045797364212;13,868759352174466;13,159904006684165;10,389629120177368
Definition/Deutlichkeit (D);97,70624334975807;97,65137529538217;96,46747690355714;96,23218241509748;95,68934688040662;96,05956401290076;95,39457941926639;91,63573462066401
Clarity - 80 ms (C-80);21,223190021628263;20,523621850492585;17,896246341153006;17,455061575128536;16,709128356879077;17,361976935037056;16,445975639690033;13,00014985678902
Center Time (TS);4,387452616932495;4,392114668522349;5,737878628454739;6,0122640648302905;6,546235517121084;6,102965624303613;6,964222704000632;12,333476288865686
Strength(G);19,95145183947527;20,013101195265573;20,010323151971534;19,963401976515755;19,970063513911207;19,971791402865655;20,046914984825193;20,606507967908954
Lateral Fraction(LF);7,79419420624105E-09;1,0991345672061877E-07;3,7360050051225095E-05;9,020433825813692E-05;9,402453661071325E-05;3,0071221886453757E-05;1,2775585219724737E-05;4,902818140595156E-06
Lateral Efficiency(LE);2,886712767934887E-09;3,4280799982775655E-08;1,375868260318635E-05;3,395469920600033E-05;3,6025795511823896E-05;1,0563234156197316E-05;4,716436687131327E-06;2,132026863898178E-06
Receiver 4;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2874620991691505;0,28520412238272985;0,37236553032212105;0,4166786389911909;0,42994138867221016;0,4236144287270446;0,45776327648504994;0,6356069159165546
Reverberation Time (T-10);0,34443314516839046;0,3722663679182132;0,4368657087512957;0,4925723507604278;0,5445733553650978;0,5174863338904914;0,5501535489642024;0,757968845102423
