Pachyderm Acoustic Simulation Results
Saved 23.12.2024 01:36:45
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2701050347657949;0,2944433398211538;0,31453293351031913;0,404032153400263;0,43454566187576876;0,43204290694569986;0,42898095768754513;0,42308857603322764
Reverberation Time (T-10);0,3021368480183168;0,3674359020007359;0,40906474021218886;0,4251015728449206;0,4421964473293273;0,43839659642817896;0,43946456661490435;0,42900224363121003
Reverberation Time (T-15);0,2785793213597361;0,32945100894487406;0,40274882521219124;0,4390414948488858;0,45606073704324124;0,45193925255618433;0,4542551419693247;0,4456028694203065
Reverberation Time (T-20);0,2754491240497324;0,33876993146349665;0,39108604121533497;0,42389975320076756;0,43726067380040756;0,4324294462625135;0,4341921233095447;0,43188278698431826
Reverberation Time (T-30);0,2740097686630183;0,3201921253520782;0,36552458383695896;0,3891434416242193;0,39981611319026894;0,39443641043590677;0,39856115418767135;0,4105619731728805
Clarity - 50 ms (C-50);17,848670931955468;16,516047711944083;13,947759030679283;12,887574749959532;12,389810428366243;12,322879693726655;12,334772674706663;12,494842600647491
Definition/Deutlichkeit (D);98,38540506848665;97,81820020499978;96,12681149701916;95,10828790115056;94,54662945339474;94,46662106823103;94,48091811759784;94,66998944996342
Clarity - 80 ms (C-80);24,014373509588363;21,602276783846467;18,316794296104412;16,87162566682934;16,265078125952446;16,26522211965057;16,217868346105558;16,46225207992567
Center Time (TS);4,327371690576395;4,442580891586121;6,6038001628300265;7,8425847289117865;8,489633631972731;8,602516613590138;8,629001523996843;8,471903466801836
Strength(G);12,389367790273766;12,272908860177889;12,530471311560255;12,66774551916349;12,720144850335558;12,749664103011298;12,751564289046101;12,719053627140184
Lateral Fraction(LF);8,406597927412059E-09;9,310076395345256E-08;3,7692693808001296E-05;0,00010461338707654093;0,00010854784840998712;3,489516066658997E-05;1,398083972524454E-05;4,448730465035583E-06
Lateral Efficiency(LE);3,7115472224627778E-09;4,6812545236229516E-08;2,087648016730446E-05;5,9815906927429744E-05;6,350426773532675E-05;2,037039830644231E-05;8,134898348977385E-06;2,5243543432839653E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
