Pachyderm Acoustic Simulation Results
Saved 22.12.2024 15:35:22
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2580484678907789;0,38909105710399056;0,34763331420626614;0,37184446663055376;0,40930719427544554;0,41039000128383013;0,40586519415463085;0,38768229922537556
Reverberation Time (T-10);0,2701409073916352;0,31676274229698154;0,37286142499072417;0,40279464385856373;0,42057849998565877;0,4161167125113613;0,41875879268802485;0,40032002017456597
Reverberation Time (T-15);0,2588725179142134;0,3276994126369022;0,39564377790493804;0,43181760741691383;0,44204738362285995;0,43543250260580074;0,4367122273540859;0,4215328353638299
Reverberation Time (T-20);0,27807682849231874;0,33799804717410503;0,38414999350946294;0,4226709194881446;0,44801753877664324;0,44184900815804967;0,44294911618218774;0,43263069807692917
Reverberation Time (T-30);0,271169038294183;0,3331207330134374;0,40954981060721485;0,44040319963690183;0,45701508070888763;0,4561851667058417;0,4557531519013433;0,464369986166827
Clarity - 50 ms (C-50);18,446650170219634;17,354336454268775;14,835498811670893;13,480512649868261;13,102685982495624;13,081074606036236;13,002746372253956;13,116437876734642
Definition/Deutlichkeit (D);98,59016407685269;98,19427127779188;96,82008452443242;95,70575528376476;95,33364679622727;95,31145962868506;95,23020115097597;95,3477130577651
Clarity - 80 ms (C-80);24,270384937095844;22,11622706319311;18,846568491823724;17,204660218857803;16,70138316542984;16,730251039341212;16,668231339096533;16,95162176537545
Center Time (TS);4,240524929312856;3,8886838363475484;5,937591175202316;7,256844639912671;7,783343702314852;7,912820414410969;7,9966048179520905;8,073198848343926
Strength(G);12,414164788291515;12,152129977796424;12,418312429680213;12,556062785564812;12,605838079876115;12,642489022372303;12,65678073098642;12,70609508680137
Lateral Fraction(LF);8,017525644602868E-09;7,662761084687408E-08;3,227655201979556E-05;9,031500378138222E-05;9,441540861447758E-05;3,062575129435841E-05;1,238674434915559E-05;4,07892708555939E-06
Lateral Efficiency(LE);4,022023268503466E-09;3,840767264766152E-08;1,794376864419002E-05;5,2636777819616294E-05;5,630712882885334E-05;1,8025599526135074E-05;7,251940412554627E-06;2,3214778936396004E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,3203225689057839;0,32355573336940247;0,30274552606872274;0,3678727103586713;0,39277956645211676;0,3596247301156992;0,3875995353564282;0,35727754690115415
Reverberation Time (T-10);0,29646542502092443;0,33250339632469766;0,374849095185308;0,4036144967187475;0,4267719081172736;0,41824359093651103;0,4269331514940924;0,490109016690941
Reverberation Time (T-15);0,2912300030238727;0,3307374515006418;0,38757958433189665;0,42667597419582265;0,47449033918855565;0,4456207599887223;0,4794562209180305;0,5587501316421093
Reverberation Time (T-20);0,3084184386913377;0,34861751056888646;0,4102721086782;0,44573191339733476;0,49923643962590514;0,47617728096181516;0,5196563614983376;0,6330769933220458
Reverberation Time (T-30);0,3289887183464005;0,3818066048739231;0,47828254234299483;0,5121468755982561;0,5776644426267098;0,5536826201624199;0,5862002689119195;0,7274059474098494
Clarity - 50 ms (C-50);17,831596287718224;17,730532685673804;15,938728827593739;14,902365722930789;14,452522122825368;14,513523946017488;14,151970514694117;12,647995115051991
Definition/Deutlichkeit (D);98,37914775367761;98,34161985685806;97,5157132733275;96,86714756511985;96,53708394530733;96,5837346212776;96,29813296455757;94,8451546847345
Clarity - 80 ms (C-80);23,10200005784226;22,382852081375773;19,822619873205948;18,740128164152367;17,73558575038122;18,082562663150448;17,20187366403978;15,556150041956913
Center Time (TS);3,834166313712123;3,4063839164589345;4,752934882182437;5,483819982826481;5,907316106726704;5,884777963208696;6,327964680275628;8,50257708815643
