Pachyderm Acoustic Simulation Results
Saved 22.12.2024 15:56:45
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,23835112707504943;0,326966282724248;0,3110065221579886;0,37409331722982336;0,39980504200277583;0,4132693429664753;0,41361356643231795;0,3891443261824625
Reverberation Time (T-10);0,2747076598271272;0,31502696458634877;0,359051184360326;0,3649289961782834;0,3855279694808057;0,40025326864017147;0,39586993561493367;0,3787232186971022
Reverberation Time (T-15);0,24797868994185507;0,29307369824819457;0,3577515547856884;0,383530630785771;0,40312426418835934;0,4156385316159721;0,41178318927377366;0,3968049275756986
Reverberation Time (T-20);0,24840147191473888;0,3016971893459668;0,3482544867455828;0,38684615039747466;0,4126062444704441;0,4266677483453607;0,42565974146766833;0,4129332938722285
Reverberation Time (T-30);0,2451661141140041;0,31172077710513363;0,3588517687528751;0,37787198437235436;0,393071231986163;0,4038287567879396;0,40230292224983;0,40770262199040713
Clarity - 50 ms (C-50);18,43714588304085;17,256794432039733;14,869656973221892;13,682742226428742;13,32128113621187;13,41959499492197;13,351333590711533;13,42736098936454
Definition/Deutlichkeit (D);98,5871189927779;98,15401308828547;96,84421093029879;95,8931089982147;95,55251972826258;95,64773634315858;95,58183428095506;95,65517420635153
Clarity - 80 ms (C-80);25,392364774378446;22,735122945713915;19,462710806693703;17,91206213821117;17,351062625277475;17,346216284620816;17,28903267210608;17,56042142503026
Center Time (TS);4,586344538685758;4,314372163157735;6,135414345533851;7,508164160271032;7,7281430141899;7,283028041191712;7,488901921068694;7,644375809314744
Strength(G);12,477261149631623;12,28538564648668;12,527180074995677;12,725129056255128;12,699999975337647;12,578672514920214;12,623123009892211;12,683356666951184
Lateral Fraction(LF);9,177036110752886E-09;9,277492622234413E-08;3,5931696137336766E-05;0,0001037783556472898;0,00010305182579940753;3,025996917267782E-05;1,2413736682284325E-05;4,216579857872617E-06
Lateral Efficiency(LE);4,686170258135414E-09;4,9914331042334444E-08;2,1005781498040956E-05;6,155919838375304E-05;6,301176821384566E-05;1,880755448708037E-05;7,658559036005061E-06;2,439383973271098E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2928440323577326;0,2583164353085581;0,3703745209971295;0,3860432116914667;0,35593398505319535;0,4272365226058246;0,3369581697897082;0,3592919538421019
