Pachyderm Acoustic Simulation Results
Saved 22.12.2024 15:10:50
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2660048451405088;0,2997127948408473;0,3019747957776524;0,3866335014528338;0,38915398798632367;0,39767687568791454;0,4175875421219979;0,3951080093189742
Reverberation Time (T-10);0,2817730558131886;0,3404738587745957;0,3769771435178473;0,41838898253818396;0,4340844965434973;0,43696487257845257;0,45887849497068434;0,43104992316165724
Reverberation Time (T-15);0,2601383811012759;0,3519437299559537;0,41720842713461415;0,4391680241702204;0,4337852050433211;0,44331954342820895;0,4644033297625531;0,4497078643792776
Reverberation Time (T-20);0,27905009576051043;0,35444789227341184;0,37293351120718554;0,3937025627331225;0,39361788303458367;0,40290592949983906;0,4160421720152234;0,40592496844952314
Reverberation Time (T-30);0,26036334558418206;0,31213536031062783;0,3621265276250156;0,38524830482236994;0,38788789187106665;0,3948454032129474;0,4066350346278133;0,4113068322679875
Clarity - 50 ms (C-50);17,99282493585207;16,895619977733872;14,35042254762709;13,134199727077647;12,570604265756716;12,667414886730512;12,756519333547542;12,92042134100457
Definition/Deutlichkeit (D);98,43729437754658;97,9971363380527;96,45762676668696;95,36582126064694;94,75733152672477;94,86697293214745;94,96596696364449;95,1433553401026
Clarity - 80 ms (C-80);23,591363285336616;21,054914592014185;17,97824688812621;16,54693324821372;15,982403055344001;16,005468168510944;15,989942692189372;16,375791415075394
Center Time (TS);4,656892594074396;4,372655933147075;6,5204508850863325;8,056478540696435;9,134321494080842;8,700644851078287;8,178832109769946;8,161043326733472
Strength(G);12,513526892178959;12,265589453506585;12,550570650316516;12,763260090639747;12,961138595275358;12,839056215087567;12,694245174058075;12,743584395281154
Lateral Fraction(LF);9,454008212522989E-09;9,543569545896524E-08;3,952236798814054E-05;0,00011404666362273586;0,0001273382509926445;3,786885955070489E-05;1,3700060740978127E-05;4,522841971676433E-06
Lateral Efficiency(LE);4,390523688823047E-09;4,861452010017962E-08;2,209458319388091E-05;6,632347951848119E-05;7,421678678431604E-05;2,237117047072683E-05;8,118806012133392E-06;2,6302134458804003E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,248811484140228;0,23967981137208352;0,35520886497279486;0,39257382528715185;0,3881265177546472;0,4118766864582993;0,4038375643083202;0,39945206878863865
Reverberation Time (T-10);0,2688718932366605;0,3301250819847576;0,38538970190122923;0,4205043890132624;0,40835879618474835;0,441950135947531;0,49602779633313354;0,533067479059827
Reverberation Time (T-15);0,27923834101610445;0,34814099969730805;0,4118463687519796;0,4407893447130105;0,4278922492828245;0,4643718487567038;0,4899802701844031;0,5541437277375598
Reverberation Time (T-20);0,2851631437241139;0,3584351124630993;0,40036392900123674;0,4163625183950979;0,39731893204102464;0,4382928267506154;0,4843921084079427;0,6080491715229884
Reverberation Time (T-30);0,27251513001120803;0,35471691477934203;0,44243636092992905;0,4732525332380225;0,42409129281671176;0,5440099650254587;0,5481957714629577;0,7145896319759624
Clarity - 50 ms (C-50);18,946684849175877;17,13208331529024;15,305845779070314;14,354345537853767;14,58150734474068;13,972333431865431;13,17029590646447;12,070748356919779
Definition/Deutlichkeit (D);98,741562903233;98,10125676476473;97,13713600489578;96,46071195417014;96,63501012338041;96,14782403861088;95,40241489249226;94,15520228524318
Clarity - 80 ms (C-80);24,908892265125818;21,81913708303549;19,519476132577573;18,296606498167595;18,550359374621642;17,665023570034442;16,955283253560438;15,374766172091686
Center Time (TS);3,1239796564645173;3,564877214649458;4,711079203024735;5,577758794599061;5,401627641810691;5,923757224082505;6,580578980713793;8,695638665450598
Strength(G);15,608536330462472;15,601513896488576;15,673738682347015;15,73050843345002;15,733896103681602;15,728554623161585;15,773966810366339;16,0630765383425
Lateral Fraction(LF);5,832799238051958E-09;6,81023395546166E-08;2,4510496529607927E-05;7,176175880042426E-05;7,433449174308964E-05;2,309130071200871E-05;9,067154542777411E-06;3,2128375045737933E-06
Lateral Efficiency(LE);2,350957772097905E-09;2,969206088636132E-08;1,187200733198381E-05;3,646265124245043E-05;3,7234634661939705E-05;1,1956717589746115E-05;4,911541608267009E-06;1,6767770997422552E-06
Receiver 2;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);NaN;0,4126983600521123;0,48909695874702025;0,8903915109923143;NaN;1,1378882059001645;0,5207437223976463;0,39166595890139627
Reverberation Time (T-10);0,2502279381968125;0,2672032996668661;0,3288504530938088;0,400703018552326;0,3155887169185275;0,40993074070182045;0,45103583967740846;0,5639111120132347
