Pachyderm Acoustic Simulation Results
Saved 23.12.2024 21:47:55
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,280006146725615;0,2719269320195047;0,34756948901645507;0,44123325143818637;0,4646726318157417;0,45479897737512026;0,4660911604954016;0,44475340762458987
Reverberation Time (T-10);0,2776781738724627;0,31628408216243475;0,3647344520884672;0,39980494824131396;0,4087474024582231;0,4026939476468542;0,4103141477995247;0,39978443014712606
Reverberation Time (T-15);0,25424467270356244;0,29081866501532033;0,3683694658585747;0,4117114927707338;0,42522739340901544;0,41913379803517814;0,42619601724780376;0,42158503415103543
Reverberation Time (T-20);0,2580847860165775;0,304668550924508;0,3545455819359811;0,3814623574186981;0,39697324152978014;0,39366333229713435;0,3989543019203381;0,4017141109738759
Reverberation Time (T-30);0,2444297235001835;0,2857789083454126;0,33610382324573296;0,37138514150069524;0,38500889418620743;0,3819381645906637;0,38656390254913064;0,4128969168558312
Clarity - 50 ms (C-50);18,947792040328885;17,3042666867917;14,823363186285505;13,725609949827033;13,20329171335992;13,18696717607258;13,180301050000729;13,302360541982882
Definition/Deutlichkeit (D);98,74187965266185;98,17371498057923;96,81147008217552;95,93180626430458;95,4356246721436;95,41922291881768;95,41250913991017;95,53396867024425
Clarity - 80 ms (C-80);24,591773411593877;21,96719423409025;18,774013542933297;17,306539615599537;16,72543888028742;16,732382121781907;16,673512482554752;16,80876332772287
Center Time (TS);4,350564890660824;4,796828023863692;6,431413537212555;7,3439369098748015;7,86612058978204;8,055972121770981;7,95359401253086;7,852846813491974
Strength(G);12,441962252365052;12,36495244595643;12,511885532645778;12,563659591615142;12,610503401460143;12,649860785513596;12,610946232719954;12,60755633482077
Lateral Fraction(LF);1,5131178617982906E-08;2,043878736595716E-07;7,524582842637396E-05;0,00019737644894491524;0,00020413792923063904;6,652789000486916E-05;2,5878392459163148E-05;8,018131751566683E-06
Lateral Efficiency(LE);4,75576218206246E-09;6,875781178287447E-08;2,8098723975703597E-05;7,885146620807282E-05;8,263133972602855E-05;2,712538998320658E-05;1,0541713825889424E-05;3,2170369925875527E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2829811668695601;0,28892466315886933;0,35335111150409876;0,3911202835109621;0,4204879860504133;0,41549015040807513;0,39449237745819055;0,4566946766349733
Reverberation Time (T-10);0,2845106488007702;0,31437203324108204;0,4091198775958671;0,4230156295067244;0,4573987299074597;0,4461025211863345;0,4504749934251126;0,5266850937640924
Reverberation Time (T-15);0,2730396930334038;0,30229961917683396;0,37637525979789643;0,4155652093796282;0,44587119913769374;0,4297305424740464;0,45233978424747817;0,584808723840439
Reverberation Time (T-20);0,2569800998618548;0,30438225668254104;0,3810517768414604;0,44224528062854435;0,4690824536994122;0,4583757507807295;0,4859800407071069;0,6568893079944498
Reverberation Time (T-30);0,2646860211097236;0,32158947069067595;0,4270797584653498;0,5108419387416299;0,5177517435689913;0,5396398541707761;0,5633717155390958;0,764976960919893
Clarity - 50 ms (C-50);19,42761618134933;17,89724903244839;15,346466729907391;14,688004067024973;14,166876009275791;14,266699017258516;13,83949988625913;11,982706128838156
Definition/Deutlichkeit (D);98,87199331941707;98,4030777252802;97,16303232686144;96,7138435456472;96,31034845161342;96,39116258542816;96,03292713026626;94,04263542887146
Clarity - 80 ms (C-80);25,88685321324523;23,44311082203078;19,991841678024336;18,70469548657797;18,19166914241641;18,310946451945963;17,776174613132863;15,134057496582862
Center Time (TS);3,2109001221922653;3,5467714456866792;4,947063670014027;5,499893283053899;5,787798157775344;5,860512267000785;6,262359904138336;9,111060079890992
Strength(G);15,620813683376637;15,631381251434753;15,713994972419684;15,70287928755669;15,681389397175678;15,710075052470316;15,767231230092996;16,041913274285385
Lateral Fraction(LF);9,860440263378282E-09;1,3701507384385582E-07;4,920598617748014E-05;0,0001282394798627658;0,00012726528310734773;4,174159490732704E-05;1,7470794168789447E-05;6,192584947365352E-06
Lateral Efficiency(LE);3,1490017767563687E-09;4,5761521442158556E-08;2,0593166644195822E-05;5,487079985912696E-05;5,598742886031093E-05;1,8425864452899915E-05;7,333805714470871E-06;2,9127694766131033E-06
Receiver 2;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,9525568978192726;0,37217571624548473;0,5436169134981738;0,6665584839618799;0,7608688193405181;0,8583708725077251;0,4704360192882114;0,4612725139835895
Reverberation Time (T-10);0,26183343024052363;0,2660586675770566;0,41937448883281486;0,46443465423299674;0,4758777783437606;0,4835487171171558;0,4663362345531079;0,5835457437630053
Reverberation Time (T-15);0,2929079129857714;0,314228086059065;0,39266489265541293;0,45278729883404684;0,4754134038559266;0,4616347280180116;0,47660336994784724;0,6695887980983964
Reverberation Time (T-20);0,2736843385521312;0,316434574789601;0,4033929654728367;0,48999037332660533;0,5174438572327886;0,5011728098587477;0,5218448659935405;0,7342970087665854
Reverberation Time (T-30);0,28056976905885744;0,34451905050276194;0,47532604123069383;0,5652543905138899;0,6170882843441479;0,5969999123321649;0,6425264963030154;0,8090177198676777
