Pachyderm Acoustic Simulation Results
Saved 23.12.2024 22:21:54
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,27496656390630936;0,3003273781274368;0,23870219912509172;0,3252098942153465;0,33275859200504376;0,3391672729330738;0,3372841243146908;0,32393877446030955
Reverberation Time (T-10);0,2691695113252621;0,3067868608651355;0,3781289132617618;0,40896818579379;0,42302160525252835;0,4047090160421174;0,41342828927606246;0,4089376312478607
Reverberation Time (T-15);0,25208205297997693;0,2875389189071619;0,3531450686788727;0,40048511545074605;0,4139318114669029;0,40484085266929903;0,41087916565662813;0,40694381996784335
Reverberation Time (T-20);0,25005717622699797;0,2962494091021091;0,350755951069397;0,39294189862992057;0,41533300687308633;0,39880356564804637;0,4116637461798088;0,41296159825493745
Reverberation Time (T-30);0,24181149428123944;0,2957570517236258;0,38706398086135674;0,43253737724951685;0,4521796033967065;0,4420101805933186;0,45173895075430304;0,4736068950897474
Clarity - 50 ms (C-50);18,999195628506897;17,438465088060028;15,084814820905965;14,006952224602784;13,584604966010808;13,51077603380719;13,558624737650241;13,757795308604166
Definition/Deutlichkeit (D);98,75649904602263;98,22830026462373;96,99215718884658;96,17723953910749;95,80318846743535;95,73430325540282;95,77907007293402;95,96063067848758
Clarity - 80 ms (C-80);25,361737811187886;22,901555385726454;19,892611838519066;18,339937097720824;17,84903975658213;17,767664642892754;17,819815491382386;17,944902126626
Center Time (TS);4,157146800253188;4,532716633560421;5,8690924952424615;6,64569625797279;7,060489488802547;7,389952669193231;7,18771664248022;7,088498879601497
Strength(G);12,41331943933594;12,364319582280444;12,46741608689544;12,498972704252111;12,54399815130705;12,616432623113383;12,55940144698333;12,545135421807814
Lateral Fraction(LF);8,353362260648125E-09;9,684116443984666E-08;3,3768404864990375E-05;8,625202448695305E-05;8,991869608891622E-05;2,977675855027415E-05;1,1469454824127943E-05;3,6772321495507783E-06
Lateral Efficiency(LE);3,949481815001904E-09;4,796295987241294E-08;1,8134485869593327E-05;4,8537447905301186E-05;5,0590786568362474E-05;1,6987888778176756E-05;6,494401463409837E-06;2,0054237071365587E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2779901041706913;0,25456700073870314;0,34558593377216357;0,3720575784589859;0,390677009150599;0,39429765858257987;0,4036942805968854;0,3716220754998452
Reverberation Time (T-10);0,26143181819794187;0,28452916008574636;0,3857465500695629;0,43467045597462106;0,4663637996540203;0,4519527287650324;0,4636080564503052;0,5544288662662262
Reverberation Time (T-15);0,2750546871926617;0,3035557659635167;0,3861555130489951;0,4346171593117515;0,4608070891282457;0,4517474482825795;0,4810039371041606;0,616572645536551
Reverberation Time (T-20);0,2693915750121494;0,3132168219106595;0,3990052124458394;0,46227786514154073;0,48963765785665114;0,48921077146379954;0,5220019889283286;0,6874837424871393
Reverberation Time (T-30);0,27418222471516185;0,32856369920132966;0,4567978307959353;0,5390961270434185;0,5580868783341331;0,5588361220136947;0,5894813758037792;0,7744076093589088
Clarity - 50 ms (C-50);19,063160448582483;18,07716033388396;15,68791210445851;14,646286620807112;14,15073170304877;14,395050714813337;13,900262325318781;12,27818402271197
Definition/Deutlichkeit (D);98,77445685422447;98,46688697075231;97,37189677266032;96,68317733629472;96,29711597379877;96,49257163765103;96,08588690005244;94,41257823360425
Clarity - 80 ms (C-80);25,59310343789287;23,483097612481355;20,168202229149756;18,958582015781808;18,33661693942952;18,587099012405442;17,470680413378094;15,15590576595156
Center Time (TS);3,1045180952785714;3,3678991233581153;4,480457248132746;5,180679227014105;5,4531134747250345;5,4209182435563354;6,034199714361786;8,591442904369956
Strength(G);15,598613140335377;15,63300351576963;15,637516287041322;15,669843111263859;15,660693768624526;15,658048039909396;15,722061277125242;16,001831150569203
Lateral Fraction(LF);5,4940892297842995E-09;6,563485480673479E-08;2,254479946398172E-05;6,19875212497352E-05;5,990321590907517E-05;1,900265897323975E-05;8,10687114287605E-06;2,844120557455303E-06
Lateral Efficiency(LE);2,1533797048170708E-09;2,450190209969668E-08;9,6299654265307E-06;2,62433906739603E-05;2,7379844353805895E-05;8,846331475266157E-06;3,7285825276929365E-06;1,2844527188744147E-06
Receiver 2;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);6,01556031304958;0,5205464965860983;0,5544977292954993;0,750103882753352;0,7887957859850685;0,8733067238111603;0,6079606340919905;0,4255147416308178
Reverberation Time (T-10);0,25690111323208464;0,24458835369801507;0,3380807881871741;0,41781870768402823;0,4382480219314035;0,4164416624009128;0,45608397811402807;0,5815571365288321
Reverberation Time (T-15);0,2735073036064391;0,3029675204141491;0,3866514252521083;0,4489507753354861;0,46563428441835353;0,4396548935055397;0,5019485862956947;0,67241609804068
Reverberation Time (T-20);0,2753062153883102;0,31713398985937447;0,4258016177114902;0,48630150095957736;0,5168825892874678;0,4989385256802905;0,5585094482008832;0,7385910591182907
Reverberation Time (T-30);0,28669656134372906;0,34443510774008457;0,4866557157313045;0,5648793530540371;0,6312393801983303;0,6165589583565791;0,6623826908828457;0,8220118609349297
Clarity - 50 ms (C-50);20,592089561470996;19,545880735532144;17,147680776713486;16,03854494676641;15,798528632560187;16,150434731850755;15,098609884740004;12,709654727005748
Definition/Deutlichkeit (D);99,13499615500534;98,9019633415357;98,10793497894265;97,5707885460009;97,43629587442906;97,63111074996048;97,00141019853771;94,91412840392005
Clarity - 80 ms (C-80);27,101791938112775;24,798695160216976;21,154199354542907;19,716923455609873;19,401405493708047;19,971362732067874;18,483372536233112;15,40728142593155
Center Time (TS);2,082902284455639;2,2946468717377693;3,3253086097303206;3,857975149594841;3,984373449769067;3,856253072219821;4,549068640997053;7,742874103766975
Strength(G);19,499457961864795;19,533339489193448;19,581592446449655;19,5798881377832;19,584944333148904;19,57351966388464;19,631792436121124;19,946001872899572
Lateral Fraction(LF);4,2627018479844346E-09;5,5312125441306286E-08;1,9502246379642126E-05;4,95444348209666E-05;5,0575259735477446E-05;1,5968641055065307E-05;6,841406627529632E-06;2,6722381549165643E-06
Lateral Efficiency(LE);1,2034478253268062E-09;1,6006130179687703E-08;6,899875846021741E-06;1,9249600509789645E-05;1,9416609086992978E-05;5,919294062724215E-06;2,7064250791502866E-06;1,182576570542673E-06
Receiver 3;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,25304247595991086;0,23996276708685868;0,24603973756333147;0,2603094807433897;0,2687868515363264;0,2799288789311425;0,2910931950920075;0,5006070080539903
Reverberation Time (T-10);0,24496168452683006;0,2545010017537696;0,36764028533391446;0,4209881706227385;0,4401744107247349;0,4386111581569613;0,47388207104454927;0,6596878924130581
Reverberation Time (T-15);0,2927447949728116;0,32414567654031606;0,41641229210571123;0,47749742268101203;0,505102907839104;0,48431249992309583;0,5480883172358874;0,7333876245994374
Reverberation Time (T-20);0,28901532599931823;0,3415368037435251;0,4543679308713077;0,5340012394291915;0,567677810257592;0,5551315938395298;0,6138801207553022;0,7862525221807148
Reverberation Time (T-30);0,3119350674253667;0,37279967279050563;0,5127572750631556;0,6196338711979169;0,7086912247655814;0,6810618891165426;0,7337111614505774;0,8507635012385012
Clarity - 50 ms (C-50);18,82370503347285;17,895209912208493;15,331026475315856;14,396960018155534;14,224424881303557;14,430256453490813;13,637919914926833;10,588973188357112
Definition/Deutlichkeit (D);98,70719172404992;98,4034730716737;97,15522509497019;96,4955935764504;96,35811700609909;96,52087912859935;95,85456763636707;91,98279646131805
Clarity - 80 ms (C-80);25,053244783844097;22,949847150747086;19,199042475965918;18,108250881623874;17,685084211576296;18,208178316491672;16,79268738598586;13,274539954768915
Center Time (TS);2,850043905744653;3,19647105656396;4,866014881899453;5,6028592522768275;5,76442411058766;5,44902101302258;6,557484260095736;12,0838905202867
Strength(G);19,726345564332807;19,807990180739694;19,94139377556813;19,94827242030236;19,919453333869896;19,866026167509993;20,017069874792924;20,629637457587904
Lateral Fraction(LF);6,665378698096843E-09;9,062021511145128E-08;3,539187766667935E-05;9,428709716858081E-05;9,179791652389874E-05;2,799747437305695E-05;1,2589879570516303E-05;5,136042277882789E-06
Lateral Efficiency(LE);1,915413691609028E-09;2,5998006349258638E-08;1,1652703571436832E-05;3,1639335909889246E-05;3,1583261986629255E-05;9,2534789860932E-06;4,3559991923117885E-06;2,154970616988309E-06
Receiver 4;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,23708393065088362;0,23105947227379156;0,3355347950884949;0,37524427851346887;0,3964799053569471;0,39159761744257054;0,43363245148462903;0,606724068785942
Reverberation Time (T-10);0,30326142977627757;0,32093946813105595;0,42218718577677317;0,479172823334343;0,5270444659197074;0,4756487796692336;0,5735503197623448;0,7547998208973753
Reverberation Time (T-15);0,2988016423135758;0,33395488546574126;0,4478676762520541;0,531951681277725;0,572697683567526;0,5473785290681515;0,6175847839546504;0,805955808439198
Reverberation Time (T-20);0,30803967034776464;0,3542058468918951;0,48007729483769646;0,576921972296966;0,6355890568333722;0,6177427966050621;0,6835186797279648;0,8403874781342586
Reverberation Time (T-30);0,3267358313552766;0,3902862732875428;0,5396411731063653;0,6597052505306265;0,7611640737899343;0,7363200677895303;0,8038591809152176;0,8807273975644
Clarity - 50 ms (C-50);15,64158849897934;14,540177360611716;11,909662405343752;10,997341139665384;10,77278342256889;11,078265422236326;10,156019924778859;7,55256467193311
Definition/Deutlichkeit (D);97,35947513801952;96,62602145313335;93,97273517346166;92,65299948019022;92,2886552019041;92,77201329699952;91,22773374572013;85,22439609181093
Clarity - 80 ms (C-80);21,54938277514225;19,700256005247063;16,048322345660768;14,77272230633731;14,052542869784206;14,798322967388717;13,246584156030432;10,382657560661332
Center Time (TS);5,683837847271553;6,698151360682217;10,053813338836832;11,576958669892695;12,277322098763491;11,655751916460598;13,984526473884786;22,248688550614645
Strength(G);16,32359760358742;16,642001460341696;17,07414342524769;17,158653368576687;17,168835159107793;17,03520344373767;17,34165889028573;18,206550522830668
Lateral Fraction(LF);1,3109061516958427E-08;1,9970489468038833E-07;7,75979103783501E-05;0,00019988823003151836;0,00020467819880624983;6,27678878673414E-05;2,7279571748428513E-05;1,0502677251634023E-05
Lateral Efficiency(LE);4,355350850573191E-09;6,268611544683368E-08;2,8484657435528605E-05;7,629949913737212E-05;7,355550549358411E-05;2,4311297097621717E-05;1,0671064590700855E-05;4,805403568954808E-06
Receiver 5;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2463896770259721;0,2622900923646222;0,3800240167013095;0,3927770359371109;0,4283599867242827;0,42586637481335143;0,43589618706406724;0,5753071393930735
Reverberation Time (T-10);0,2887516827070955;0,31389625337861143;0,415745387780912;0,4694068361956929;0,5217148462499711;0,4692008505096634;0,5394165168128754;0,7184414306682472
Reverberation Time (T-15);0,2781739123971299;0,3263487158571354;0,4319712469518311;0,513795031068619;0,5491606940636504;0,5260435038119415;0,5874429265693023;0,78231710312434
Reverberation Time (T-20);0,2881217496323325;0,3416900901512818;0,45816708389871663;0,5508209024284265;0,5879255254401348;0,5614720299737305;0,64551915671696;0,8242321447230393
Reverberation Time (T-30);0,30561221083173296;0,37166571386535685;0,5177580432451796;0,636018615652741;0,7027480762951753;0,6704929593211939;0,7679720924449885;0,8667084667135273
Clarity - 50 ms (C-50);15,55846952895822;14,207096349323706;10,99475007829253;10,433490675318733;9,99856238921483;10,318482310669932;9,72114213537505;7,244110446490785
Definition/Deutlichkeit (D);97,29828148043899;96,35113320968041;92,64802839216813;91,70534187739663;90,91310952043852;91,50138867839358;90,36726047549793;84,18292518021867
Clarity - 80 ms (C-80);21,579556037006043;19,29107065469594;15,565136249653353;14,407590386810034;13,276683070430057;14,08398281524554;13,07287379097385;10,345004553079125
Center Time (TS);6,885793884520148;8,347399123811043;12,451829758056347;13,779784892630046;15,132917817483056;14,543063848656669;15,830776080016363;24,05797996480271
Strength(G);13,163699188074904;13,53551821417074;14,025298295687783;14,332990731599892;14,354215734307594;14,286282116110023;14,516819907429266;15,040261614774252
Lateral Fraction(LF);1,4517605270003995E-08;2,341452800156347E-07;8,939447765322324E-05;0,0002462333934796725;0,0002591823385648519;7,810804371267582E-05;3,18268757579347E-05;1,1295125916768273E-05
Lateral Efficiency(LE);5,857126157677799E-09;8,676718370788682E-08;4,1924907327343094E-05;0,00010225923050138749;0,00010762843470286446;3,6256742549585194E-05;1,4340546855063741E-05;5,759243136770691E-06
Receiver 6;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,25741118040489747;0,3097937762184707;0,4827854324275231;0,5473594864835994;0,5718321450008454;0,5168951070041973;0,548702054132575;0,5371066018695378
Reverberation Time (T-10);0,28510347504310324;0,34899970173984735;0,3922658992606388;0,42980683170204786;0,4481741964450883;0,4302203883342174;0,44300873955682535;0,43121396673081636
Reverberation Time (T-15);0,25327217816318265;0,3079375409431908;0,38611870914158175;0,4394121378049094;0,464261270562378;0,4415908259440201;0,45946081559715746;0,4473721703422975
Reverberation Time (T-20);0,25190267198830796;0,31509319187597323;0,39544079367440166;0,45100904343600945;0,4739134048831737;0,4570687226991038;0,4699020596260422;0,4684949692825454
Reverberation Time (T-30);0,26578893800397474;0,32427394099123386;0,4029661119438367;0,44361921322185655;0,4634215960442545;0,4524663980290743;0,4660793290159293;0,48617137278493366
Clarity - 50 ms (C-50);17,947577803817182;16,29421618615143;13,992456588524643;12,87512671098204;12,420734248082075;12,410107384555939;12,405831321480012;12,673247961548135
Definition/Deutlichkeit (D);98,42118655495865;97,70648403858644;96,16494897432518;95,09493555889075;94,58322621691435;94,57067605190403;94,56561835692567;94,87350935491925
Clarity - 80 ms (C-80);24,804585910264684;21,965568512244694;18,744842623806125;17,034134536540716;16,50582801909541;16,568557810394104;16,548602537536418;16,741722644716585
Center Time (TS);4,948601908875407;5,210755708153356;6,94870747516136;8,09081652644387;8,703837646954382;8,989358253209852;8,781837006529774;8,558597382262278
Strength(G);10,95946441313206;10,790914694646748;10,91465763218676;10,96654955141571;11,0054745538269;11,10275234150847;11,026929621189318;11,005022658079582
Lateral Fraction(LF);9,584125095235485E-09;1,143198829525681E-07;4,0473013979666075E-05;0,00010573661761550879;0,00011053726306518785;3,7451437189142965E-05;1,4055356531108268E-05;4,396436887355372E-06
Lateral Efficiency(LE);5,4773485292132385E-09;6,428351478116252E-08;2,5021511515335934E-05;6,754868970501834E-05;7,112796985269563E-05;2,3794515473865682E-05;9,107474054290024E-06;2,8152504943826337E-06
Receiver 7;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,4458263760116299;0,45536511784071565;0,44272076962380663;0,5757410153638138;0,6011822616091049;0,5508857232565341;0,5501068644408573;0,5932822365164995
Reverberation Time (T-10);0,31652224799927414;0,3667099644538717;0,428538277252221;0,5037358508313345;0,4948476359163555;0,4889873738879357;0,49619269841252583;0,5883696175213193
Reverberation Time (T-15);0,28475393412969197;0,32708557271842426;0,4146012353782931;0,47259102083075394;0,4883517925061348;0,4798865822967333;0,5261615411897463;0,6428749839405656
Reverberation Time (T-20);0,27919050168881754;0,32774142384986316;0,44124242432102734;0,49928135742638474;0,5343774145450115;0,5188583269415392;0,5873304449155301;0,6969388423103964
Reverberation Time (T-30);0,28930149570871494;0,35007710880563353;0,47000326912465445;0,5215163034996714;0,5842096276651891;0,5319646558506224;0,5945194282007096;0,7865225071009491
Clarity - 50 ms (C-50);17,013256055030787;16,174607962854985;13,883884159417503;12,491388196496995;12,568624389197002;12,350485622670028;12,047510634181958;10,243472084383926
Definition/Deutlichkeit (D);98,04961526864376;97,64394978505132;96,07167903341909;94,66597446848957;94,7550663210773;94,49975397811156;94,12568684252571;91,36190568918614
Clarity - 80 ms (C-80);23,2345878649638;21,35704180824906;18,03313111098547;16,439222317074485;16,265353319767026;16,34673506789808;15,450251456655106;13,210018108851484
Center Time (TS);4,7761772339103175;4,740713535044436;6,5511094224601685;7,721036343698082;7,906864703884372;8,199894845554306;8,944495946781931;12,791963631022366
Strength(G);12,942260983366584;12,888405233538311;12,960646396057442;12,958327365910456;12,94925975022879;13,04220796211824;13,105246566702675;13,543449619311211
Lateral Fraction(LF);9,19655653966783E-09;9,21012590694903E-08;3,441606368165583E-05;8,463482249303455E-05;8,287344433298378E-05;3,0662532341293814E-05;1,2560143415365709E-05;4,392664588890731E-06
Lateral Efficiency(LE);4,583892488494004E-09;4,854094824055774E-08;1,9479827195448943E-05;5,50576434091438E-05;5,403573703170594E-05;1,8392323505452745E-05;7,265997165660578E-06;2,6796576951960313E-06
Receiver 8;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,3968302616777539;0,38816747481187247;0,4396957084269186;0,5400811446905316;0,5983822517978872;0,5311535654398456;0,5300017573862241;0,6521999820424293
Reverberation Time (T-10);0,3108068975934228;0,3655399045023134;0,423317144038897;0,4918767763122955;0,5097201371276203;0,49889569959776464;0,5244662148518722;0,6925534678925553
Reverberation Time (T-15);0,2920876054733028;0,3421103111977493;0,433852453104012;0,5085726174926923;0,5303660263213131;0,5172713403552106;0,5666343300682525;0,732302557689097
Reverberation Time (T-20);0,2870323232544813;0,34543465802063344;0,46903958858558686;0,5312009212283149;0,5752913456026673;0,5629224280282358;0,6199305671627611;0,7788318123752864
Reverberation Time (T-30);0,3019050862987123;0,36386060927415476;0,5098304551135492;0,5970747697519453;0,675621679270347;0,6389617846430685;0,7255970100527013;0,8390040631016281
Clarity - 50 ms (C-50);15,944649343546331;15,029615134524253;12,776887723801549;11,515063311821041;11,203607885135183;11,55132925357796;10,906487343466232;8,45970396596918
Definition/Deutlichkeit (D);97,51901370139079;96,95485452023482;94,98834081444784;93,40997694862811;92,95453300376114;93,46119474337168;92,49310047117329;87,52195334188222
Clarity - 80 ms (C-80);22,730496211975414;20,578790460598142;17,15769973429894;15,633869021375702;15,276095111389271;15,792484822315272;14,586662447805805;11,452349156251154
Center Time (TS);4,943341597830292;5,1429397243028685;7,611206479049452;8,996709220826087;9,315719533753297;8,870875255006608;10,315408850656917;17,3416001896925
Strength(G);14,685471293523165;14,640488224758478;14,807583036690076;14,84732857613789;14,800693241389418;14,797871432601994;14,979351036062361;15,605743433886815
Lateral Fraction(LF);9,976039280785081E-09;1,1120919732435926E-07;4,119949183656691E-05;0,00011120933003836128;0,00010452983661992945;3,3590521351754975E-05;1,4954096936810998E-05;5,7127155301838466E-06
Lateral Efficiency(LE);3,922985308119972E-09;5,206245757954833E-08;2,149010756095636E-05;6,197662919133467E-05;6,197160271955167E-05;1,8604687409971972E-05;8,067380703687117E-06;3,291869115943783E-06
Receiver 9;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,32827460667091396;0,32512803822518893;0,4179482375267794;0,44263075343412595;0,4686299848801209;0,49050276998041437;0,48295556880845986;0,6629893633812879
Reverberation Time (T-10);0,30888652651127085;0,35220578914762346;0,4305354131003092;0,4759476650504074;0,5113359691327768;0,5043056152186327;0,5456964798123926;0,7370863572972117
Reverberation Time (T-15);0,2967442169372622;0,3505014517514615;0,4565327056610902;0,5354445545350465;0,5609228214354359;0,5481285211189112;0,5891807399421886;0,7780625331765025
Reverberation Time (T-20);0,30192728618750386;0,36081012225018044;0,48283900454076334;0,5816007192278572;0,6405004659362915;0,6056776611596376;0,6379323199131506;0,8216047786188339
Reverberation Time (T-30);0,321629181118562;0,38604111879367714;0,5276146368300257;0,6426842317761778;0,748195890668178;0,7512683300231149;0,7701099283576859;0,8700958425529152
Clarity - 50 ms (C-50);14,973224230943947;14,124977195648949;11,806058722349825;11,045214561163018;10,798663692825976;10,763013922563953;10,239944861144616;7,122189555804731
Definition/Deutlichkeit (D);96,91960531980288;96,28326874540053;93,81421972358986;92,7147030475547;92,32108839813465;92,26415110748198;91,36460452437993;83,80846244910238
Clarity - 80 ms (C-80);21,313254846378257;19,42209565165664;15,82884588809346;14,856574855215827;14,335921779206108;14,762659506832737;13,501477360094032;10,09276970032917
Center Time (TS);6,22812154982917;6,530465565206814;9,549773480999132;10,778483335332023;11,253409310836547;10,824812351040716;12,860447297771604;22,83375470578118
Strength(G);15,034700712610814;15,053689868578065;15,314713242617955;15,373797077232084;15,328202866109244;15,204925902837367;15,533539396630886;16,594204291144337
