Pachyderm Acoustic Simulation Results
Saved 22.12.2024 18:18:11
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2595233328914023;0,2541356034421771;0,36218939619498647;0,45408938851712805;0,4810044267432508;0,4573891938558308;0,45224142192382677;0,4397085503395307
Reverberation Time (T-10);0,27360226558961304;0,31360402340842847;0,36321932684279273;0,39892412023623935;0,42598712165553265;0,41549329874379715;0,41375340161933805;0,3969902261882863
Reverberation Time (T-15);0,2515135721834507;0,3007828033587894;0,38465366584732075;0,4278876873640735;0,4499785678991801;0,44226356749667195;0,4398426527281786;0,4287375270554559
Reverberation Time (T-20);0,2592479221705362;0,3153188595294007;0,3989131655826879;0,4474822582772933;0,46867164456504873;0,4606385768563187;0,4585546514702062;0,4512229209482967
Reverberation Time (T-30);0,27272802941874963;0,3315223684110944;0,40392681871504205;0,4412830849894417;0,44474851380202146;0,44004126468402294;0,43831293213261535;0,440583620901096
Clarity - 50 ms (C-50);18,351857741966487;16,83449859615787;14,550106153931747;13,469879382675288;13,003055450801352;12,946432459115226;12,883675903201198;13,046350664639906
Definition/Deutlichkeit (D);98,55950178229863;97,96932576033248;96,61141919479148;95,69568148393411;95,2305244060407;95,17095575197328;95,10410953029273;95,27560036141485
Clarity - 80 ms (C-80);24,44729973682298;21,716854350202638;18,521750212915492;17,053487071706463;16,435438683332965;16,35469849242683;16,313580438619514;16,646313667462202
Center Time (TS);4,797283261951824;5,194543739631707;6,895107334635761;7,983031140230415;8,483878111484723;8,77845396317956;8,927952208887099;8,691747855916702
Strength(G);12,48979141900286;12,413250991283455;12,55725164846956;12,617584928699003;12,641650406496474;12,724001752237328;12,74833484052133;12,719729064625959
Lateral Fraction(LF);9,2449826180926E-09;1,0264244682358554E-07;3,7187516805042766E-05;9,882567963862628E-05;0,00010075339341409308;3,3676709217193864E-05;1,3705237406898084E-05;4,359807556781151E-06
Lateral Efficiency(LE);4,844743962048609E-09;5,702890659649805E-08;2,286720674019724E-05;6,427792844172503E-05;6,709182428892901E-05;2,2013057809172045E-05;8,885916927330979E-06;2,7596967911912176E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2858731743791201;0,3012109223516755;0,372360108729236;0,4095971633614627;0,4114648520747647;0,4276311849262279;0,38945512946592337;0,43038549204896775
Reverberation Time (T-10);0,2860027904244901;0,3259301796276196;0,379212296419327;0,426721430856119;0,4524398930085764;0,4428990633170853;0,44744579927680483;0,5161258413421997
Reverberation Time (T-15);0,27075793098223844;0,313601845153922;0,39460626185148595;0,4466915267593207;0,4727084672766496;0,470711884683254;0,4775134784795948;0,5877433578458371
Reverberation Time (T-20);0,27637705652363204;0,32858377968864094;0,42806579845627846;0,48295428729170004;0,5190882240573542;0,4982418836074332;0,5179430298951173;0,6396890241078129
Reverberation Time (T-30);0,2886957906596486;0,3476768329512445;0,4621716148152166;0,5208197018785056;0,5463563527660971;0,5384565609329941;0,5657812998113931;0,7146099332127184
Clarity - 50 ms (C-50);18,942520303563764;17,504877863520353;15,342795177708675;14,234708825420114;13,577043324071411;13,862866097697466;13,509311980504688;12,220465145677487
Definition/Deutlichkeit (D);98,74037078914321;98,25471793063875;97,1607010491423;96,36545142362485;95,79618234692744;96,05337363159713;95,73292637222472;94,34205382002186
Clarity - 80 ms (C-80);24,60541116268204;22,29137813262502;19,22818982166622;17,849965562648908;17,20189248796067;17,187326070099402;16,906105379656747;15,132550123159207
Center Time (TS);3,401287903628891;3,7695605259844567;5,1884526159600775;6,043732260054127;6,5935850161641;6,388378039488971;6,854375227304439;8,92541309410977
Strength(G);15,65321259818107;15,63928184348137;15,742476456622569;15,746083825035612;15,762505758288668;15,752305032441463;15,826054668835589;16,06790705683523
Lateral Fraction(LF);5,5202126798487205E-09;6,853487718048082E-08;2,4590465667254062E-05;6,243462298584431E-05;6,50186944197939E-05;2,0681756990080033E-05;8,37613350503323E-06;2,940157386421454E-06
Lateral Efficiency(LE);2,102089182887791E-09;2,6982560260076337E-08;1,0978049060445135E-05;3,0465519136943537E-05;3,340938881941719E-05;1,0281435624242193E-05;4,316687959223281E-06;1,4627849376019938E-06
Receiver 2;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);NaN;0,45360231885969376;0,5562426149813385;0,7128619234675909;0,7050821259907052;0,8280067467813058;0,4457814483067036;0,4137715789757812
Reverberation Time (T-10);0,2648493895228561;0,2778336687325022;0,36907204239375097;0,4231790569781198;0,44864071090008634;0,45235079181908006;0,44467678387144843;0,5604790480664462
Reverberation Time (T-15);0,28389727491108185;0,3140216549915253;0,40855928850326845;0,46303547210362966;0,5010554269875841;0,4994418944657806;0,5123603595825112;0,6612465522130584
Reverberation Time (T-20);0,28872936447785463;0,33524341470964497;0,43956314312638445;0,5153561135734733;0,5469455799947814;0,5316852231071795;0,5657538397404037;0,7087191648393566
Reverberation Time (T-30);0,29716930813512105;0,35738582378997186;0,48989034180934937;0,5773533037000983;0,6201808630391414;0,5991435094778768;0,6230283477178217;0,7718811946309009
Clarity - 50 ms (C-50);20,518400664031905;19,255749644389727;16,695518041102822;15,783564362646562;15,245167237283663;15,480062506402053;15,173664538685198;12,9172205327902
Definition/Deutlichkeit (D);99,12032419435754;98,82699296508093;97,90467390767536;97,42767463136789;97,09802496201374;97,24660698256325;97,05127157655735;95,13994863427534
Clarity - 80 ms (C-80);26,135433462382395;23,998836739814177;20,592317650746974;19,199135162956615;18,583952063872797;18,733169761414533;18,21303498427721;15,567143104062428
Center Time (TS);2,130381883013834;2,4719894725179117;3,5955950615969754;4,216172499549725;4,530756541956895;4,283326500711323;4,781598272007205;7,4610101852532456
Strength(G);19,494440610398442;19,53683453900357;19,604367018889334;19,618601997410565;19,62163713156575;19,589147026577663;19,666162438711815;19,938790976853127
Lateral Fraction(LF);4,084129974932974E-09;5,16992744581944E-08;1,9920409310498803E-05;5,067847231093272E-05;5,235894947969031E-05;1,513236338796255E-05;6,677486937910568E-06;2,5603731804662957E-06
Lateral Efficiency(LE);1,2298192132796251E-09;1,7176020760576623E-08;7,2471321551729916E-06;1,98243703569034E-05;2,1527449871718405E-05;6,458896508232522E-06;2,7146052324318192E-06;1,1535675545201092E-06
Receiver 3;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,26988130843603464;0,2465362980978712;0,27339806842269904;0,28524184278193304;0,30696188289981624;0,28561564289860975;0,34158405957306226;0,4626301903218504
Reverberation Time (T-10);0,25384586705787543;0,28531283902199817;0,3773097575585205;0,43400917022226426;0,4392747102489161;0,4461107069088175;0,46479942601385077;0,6108243078772219
Reverberation Time (T-15);0,2951055973979163;0,3295615694099068;0,4289840966448266;0,4653188800760997;0,5079547838880519;0,5012526263395942;0,5389820805432466;0,6960319739832316
Reverberation Time (T-20);0,2950779886930702;0,34730488201156046;0,46829818992368205;0,520139380320652;0,5777151636436055;0,5622115674102931;0,5943529137891023;0,7476204782001707
Reverberation Time (T-30);0,31400144277860365;0,3762505139069976;0,5249059447968558;0,6164111879833822;0,6762251341117501;0,6917576780210649;0,6758705447934092;0,8125353830758392
Clarity - 50 ms (C-50);18,685934625933672;17,444817971800724;14,921096517626477;14,00052393678082;13,809415746018487;13,996562282210567;13,554986574449565;10,928378966251557
Definition/Deutlichkeit (D);98,66593906624776;98,23175790572468;96,8829651324391;96,17345160733444;96,00750622787476;96,16987176686243;95,77843623598893;92,54005332975493
Clarity - 80 ms (C-80);24,670368921728127;22,445014434631343;18,943985959988076;17,973797872485203;17,32816470587866;17,53057622887437;16,808375141783493;13,813942409029853
Center Time (TS);2,960030896818569;3,514537557573528;5,136102973839889;5,973909206868337;6,319114279651751;5,997963325034554;6,648103264420714;11,226819926805627
Strength(G);19,73256514410921;19,835804297241026;19,947836946924248;19,989272934222612;20,0050403355676;19,943410558713637;20,018272762348722;20,537312554789693
Lateral Fraction(LF);6,847837511724287E-09;9,452004513753567E-08;3,641496133206022E-05;0,00010110746824193961;0,00010127216573554465;2,9276716863486705E-05;1,2090587038803547E-05;5,100670856843971E-06
Lateral Efficiency(LE);2,0510919750367794E-09;3,02160690147468E-08;1,2299016805062694E-05;3,6024727767964713E-05;3,642811900804291E-05;1,0642056790271285E-05;4,582287875947805E-06;2,1980586912225955E-06
Receiver 4;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,24134829468209829;0,25390605352673307;0,3366173544479291;0,36876934073844275;0,40058410788680326;0,384202992266563;0,4407624672690032;0,5989682139047423
Reverberation Time (T-10);0,3037914737943981;0,33357672255213794;0,43087800221855344;0,4674594760352352;0,5037335678817743;0,49002236178387415;0,525636514143758;0,7128378409377952
Reverberation Time (T-15);0,2984344665729744;0,34729503187838084;0,4624270198313433;0,5291496771888162;0,5650236170805387;0,5639269985542028;0,5837713135728381;0,7650227942232148
Reverberation Time (T-20);0,3049254559804039;0,35825531331536875;0,5016334366392515;0,5941297343540964;0,6349858290825774;0,6389133721738275;0,6393270452734954;0,7936806263860804
Reverberation Time (T-30);0,32212372621208246;0,39332005377076595;0,5552864973274948;0,6697400070335634;0,7315413803616078;0,7474086569211936;0,7388148357378316;0,8429510708725197
Clarity - 50 ms (C-50);15,461959635904963;14,155185926427333;11,705164129953404;11,139386709045551;10,682110070046708;10,913617282624728;10,314425054428387;7,776851426697654
Definition/Deutlichkeit (D);97,2520859947561;96,33403141222807;93,70051826337176;92,87158083896546;92,14258270043621;92,52261035166494;91,51954743458637;85,8331775374474
Clarity - 80 ms (C-80);21,515736727632024;19,052943584276203;15,680008367918838;14,732701853807901;14,095371042200032;14,408234883959992;13,757749874891523;10,763477253512573
Center Time (TS);5,958937118287485;7,27150231901802;10,503248558354276;11,922475191596046;12,762628337360235;12,195225099070301;13,24842246011379;20,91064330516557
Strength(G);16,412084637574733;16,733465165585724;17,124931394587655;17,255643845982192;17,30428621904445;17,17510126880201;17,22082685717207;18,046310792890075
Lateral Fraction(LF);1,4231238239316224E-08;2,028513127653706E-07;7,714144485488954E-05;0,00021379231283937547;0,0002119868208720762;6,502874981929428E-05;2,6167981335753966E-05;1,0643003727826478E-05
Lateral Efficiency(LE);4,610156976007423E-09;6,984446952271614E-08;2,979575967895019E-05;7,900691338085543E-05;8,315889486570718E-05;2,4160715894564725E-05;1,0713078265712061E-05;4,776979360021408E-06
Receiver 5;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2704221844712088;0,2942584373974108;0,38574448678439544;0,4220384712926238;0,4373744139234334;0,4353760820600784;0,44581678805277447;0,5787917903990206
Reverberation Time (T-10);0,29910705821269934;0,33392906709109943;0,4220210711185144;0,490167035649339;0,495880884873048;0,47987429990397695;0,5035663583844735;0,6858100722944311
Reverberation Time (T-15);0,2838503780340283;0,34283848424226704;0,4448450931642386;0,5257298653509987;0,5338004495843852;0,5401716912440137;0,5516049091239154;0,743350999414816
Reverberation Time (T-20);0,28943455984991645;0,3480758916615422;0,4810124109806246;0,5732806230907785;0,6005836161525292;0,5960915023384726;0,6102330376347178;0,7707237828840899
Reverberation Time (T-30);0,30515947746006905;0,37616924905043075;0,5167187305526438;0,6498556880345693;0,70423278152996;0,6843796510782189;0,7061297493260807;0,8220510336952326
Clarity - 50 ms (C-50);15,169228797590984;13,55646556828738;10,985296665487585;10,235288668090437;9,84177014299436;10,017389273105277;9,643763057147254;7,498191370493162
Definition/Deutlichkeit (D);97,05598069894415;95,79575577930576;92,63505073718696;91,35451168832614;90,61008249176552;90,94659842361182;90,2222745976976;84,95547909967702
Clarity - 80 ms (C-80);21,237271621639337;18,590208450740896;15,200939123715303;13,645146897687887;13,448906469646126;13,640107477673684;13,276087781165632;10,4820810555539
Center Time (TS);7,299997044254377;8,877172719558379;12,79587337299385;14,865833645900157;15,47033689485383;15,120126651690528;15,909753491073442;22,84960894735955
Strength(G);13,214903316986444;13,641224668708425;14,16276812117745;14,330426540917365;14,430814295170265;14,267256987774275;14,428830775330141;14,94338907861993
Lateral Fraction(LF);1,4988388141800812E-08;2,2307122730505074E-07;9,35275853290651E-05;0,0002529763918191691;0,0002500451162032828;7,382764158489922E-05;3,157223122007013E-05;1,1453064103665281E-05
Lateral Efficiency(LE);6,770003664445447E-09;9,350135066828966E-08;4,260919537369389E-05;0,0001146642294383053;0,00012003563897771576;3,7272874454057855E-05;1,5330845705817114E-05;5,515413650564349E-06
Receiver 6;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,33118603219351794;0,4240962393992761;0,5369936444429236;0,5346995997305015;0,5245164339942581;0,5076672077773342;0,499122705678579;0,4874647643293416
Reverberation Time (T-10);0,2870954987523969;0,34036057068531617;0,40276404733373933;0,45101069312510456;0,47303235998313226;0,4677668889036625;0,4637512006234096;0,4459426084669337
Reverberation Time (T-15);0,2755664918051898;0,3349001347565997;0,4074596598677981;0,4439198201484214;0,46874931409938125;0,4619562311697735;0,4609444100275387;0,44462451762830035
Reverberation Time (T-20);0,27575974565828704;0,3317073623942929;0,4037778885681993;0,44616862767463916;0,46311794011430574;0,45747943625046467;0,4554153013613356;0,4484146714431542
Reverberation Time (T-30);0,27534242308890167;0,3303123966894884;0,3961299178495634;0,42190647245715573;0,4375250243880157;0,43327415928348123;0,4316245488794037;0,43739021308315745
Clarity - 50 ms (C-50);16,643627695512517;15,118140947938505;12,867207152711636;11,797471991925319;11,319006477142022;11,258294353920352;11,202614742763053;11,456691622409075
Definition/Deutlichkeit (D);97,88002231215825;97,0144634568527;95,08642269064936;93,79914359999982;93,12657817019523;93,03655446811531;92,95303521620394;93,3267559527025
Clarity - 80 ms (C-80);23,60507982004423;20,832158598650988;17,60861862019549;16,142172199306405;15,55068712866968;15,486080603606148;15,415608520898466;15,759159708288045
Center Time (TS);5,467038218343362;6,009996540456039;8,298612133313277;9,764186151473615;10,470375858921187;10,698829631049053;10,897472135416232;10,603292072757375
