Pachyderm Acoustic Simulation Results
Saved 23.12.2024 22:48:01
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2648542494537981;0,3326183180862806;0,3572214207655173;0,48557678071041693;0,5014856033960692;0,45144121853531705;0,4517767006618197;0,42560600281321886
Reverberation Time (T-10);0,3160354023226325;0,37096245440480313;0,4137791011808737;0,45455239384451224;0,44301243367815984;0,4120564753921875;0,41204745931091535;0,3986150037415903
Reverberation Time (T-15);0,27480042091754464;0,3125791849971618;0,36351123111503336;0,4117518085006996;0,4345143039395482;0,4199365508156497;0,42214268112230496;0,40182582962733526
Reverberation Time (T-20);0,2557393037304801;0,3016438253731327;0,40852495192079347;0,45603471659888245;0,4717302269635938;0,45452236732080903;0,45595796384160053;0,44507606778296926
Reverberation Time (T-30);0,28654194953222856;0,3542860686576531;0,42669371727973265;0,4572575552902823;0,47134300531597195;0,4564997256135019;0,45924450217542134;0,45475871600019896
Clarity - 50 ms (C-50);17,755562846287642;16,330360683791742;13,982841025937336;12,808526026429195;12,36151555101934;12,232367025987589;12,21997891031444;12,52007606563367
Definition/Deutlichkeit (D);98,35099312965735;97,72506035605123;96,15677520661784;95,02290750119762;94,51293989664747;94,35666440824086;94,3414561686375;94,69923138040784
Clarity - 80 ms (C-80);25,417643648458828;22,84291357706801;19,434374681027023;17,826100252765904;17,143199270746038;16,94645685000024;16,930191027232325;17,34474632977504
Center Time (TS);4,5633994807541525;4,805945267069838;6,655395924831295;7,863998641792689;8,523638617192132;9,298035093968231;9,334069028172703;8,953234934112022
Strength(G);12,408947762809913;12,30132925102103;12,474086930399025;12,557915505881752;12,627848188929995;12,837065200324048;12,844256415280753;12,81046150183576
Lateral Fraction(LF);8,591581887633384E-09;9,592359407927703E-08;3,6306623830931425E-05;9,86123689941622E-05;0,0001026107408660015;3,6197392124626456E-05;1,4506850936907381E-05;4,603671015005379E-06
Lateral Efficiency(LE);4,890082450090951E-09;5,352469696366437E-08;2,249973887549682E-05;6,484461387713584E-05;6,862122120065066E-05;2,290696937056832E-05;9,175048715805352E-06;2,8301144950755807E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,30664967912769103;0,2845495070449837;0,3264871534156406;0,3885269101625091;0,38712157264654673;0,38759362820455207;0,3553897520124646;0,3408028002648792
Reverberation Time (T-10);0,3247432527273156;0,33933893980281904;0,4096361379747979;0,467806458348242;0,48222658354264897;0,43853754549535745;0,4414043848722354;0,4447741848337923
Reverberation Time (T-15);0,31127630190253996;0,3368616351298587;0,4244034400987459;0,4598520239938646;0,4987026333708855;0,4491874748302291;0,45231961147485394;0,49082023625742904
Reverberation Time (T-20);0,31924552361698644;0,3407039621415948;0,4437527517494956;0,4665840907183673;0,5128961063651413;0,46369094007371886;0,4707460257681607;0,5209450017239758
Reverberation Time (T-30);0,33668059812411893;0,35056942180686446;0,4436264223824949;0,4837012883231055;0,5213104109125668;0,4532168083485159;0,4722574103638693;0,5964481219723541
Clarity - 50 ms (C-50);17,04817331449739;17,04193212231047;14,819575303487849;13,82806068766541;13,556389540750306;13,73323601651214;13,4835059375417;12,914880109625319
Definition/Deutlichkeit (D);98,06493126175243;98,06220232555899;96,8087766449519;96,02288031814628;95,77698887895191;95,93865373663901;95,70858701599965;95,13745622420363
Clarity - 80 ms (C-80);22,630681592516275;22,410885371895176;19,04002374410947;18,136025548810974;17,22327386103124;17,859505531331664;17,607437106244724;16,441058355042323
Center Time (TS);4,132777816267841;3,7496932028652434;5,24291784449909;5,967477031279383;6,337364150554335;6,332406440032661;6,712680709322824;7,853236857066353
Strength(G);15,711403601734586;15,609864846435038;15,7464948818279;15,733663838392161;15,746579989693473;15,805849961606981;15,873008180798294;16,101703808643272
Lateral Fraction(LF);6,222805829775767E-09;7,289097605071835E-08;2,791482818187617E-05;7,209127799947919E-05;7,390567388749454E-05;2,4749746095191277E-05;1,035938497051919E-05;3,5809283219561554E-06
Lateral Efficiency(LE);2,7032117795688953E-09;3,0976648590608864E-08;1,2972750943270622E-05;3,7949071416002234E-05;3,745829900851548E-05;1,273526013982003E-05;5,25026771061493E-06;1,6741133394560504E-06
Receiver 2;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,3927444959315998;0,3427195194715467;0,5729575612176436;0,7323139312547317;0,832642396876978;0,9385762770599818;0,6290100131957463;0,3472510807427632
