Pachyderm Acoustic Simulation Results
Saved 23.12.2024 23:35:34
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,34693763620796525;0,2932766950625237;0,36317971208963795;0,4527448546072127;0,4691016660121284;0,4369117403116593;0,4349150838553232;0,41611649543332996
Reverberation Time (T-10);0,3264765910881698;0,34782259276818556;0,3927821067286466;0,4166738075390358;0,4128000408972813;0,3911646954697188;0,3918657689967473;0,3851733006949297
Reverberation Time (T-15);0,2798815997104839;0,2933320282996785;0,3852418765090214;0,42578199517553816;0,44330788275456245;0,4258466542128686;0,4257861692682264;0,4193481226194359
Reverberation Time (T-20);0,27184245516802724;0,3162927724786011;0,3998982184986766;0,44146829221751727;0,45678315316697704;0,439443219249342;0,4386749961012824;0,43575580590367824
Reverberation Time (T-30);0,29016639494018265;0,3267775637645091;0,3775305775631854;0,4011514208054016;0,40564235442539326;0,3965305032531065;0,39338653913983584;0,3965136214196582
Clarity - 50 ms (C-50);18,445227294333474;17,063142305009094;14,728687365915807;13,55149187037053;13,100717243723071;12,829580862619137;12,739536401492575;13,044239173446275
Definition/Deutlichkeit (D);98,58970861290071;98,07146104866955;96,74348566423654;95,7724252233943;95,33162974536509;95,04578580469112;94,94723961962366;95,27341144647326
Clarity - 80 ms (C-80);24,071444877121596;21,808063075226542;18,536210083967735;17,028824161502133;16,407698114647037;16,369986206678476;16,288937730826028;16,614944681485152
Center Time (TS);4,1390483888022835;4,755649036867066;6,4906219649250225;7,63010382052568;8,217468140831613;8,916430955949151;9,068287939985408;8,716804181766125
Strength(G);12,260385195299257;12,294732333755107;12,459933025815573;12,54389895156205;12,60587122064247;12,767284636567837;12,794284061712844;12,755473507947826
Lateral Fraction(LF);8,038325193211737E-09;9,507628416522775E-08;3,532771063689683E-05;9,52046878693924E-05;0,00010040379315513483;3,5032914932307704E-05;1,4212413259474812E-05;4,4907262280550376E-06
Lateral Efficiency(LE);4,498964366556114E-09;5,1940614689967275E-08;2,1686183333629462E-05;6,150576459477927E-05;6,502997425943111E-05;2,2383071044028146E-05;9,02171349846899E-06;2,755592432481974E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,3234363146183754;0,27493810836409294;0,3357471310769245;0,37661050449394323;0,3879360690665436;0,4144133601957565;0,3936062086937537;0,3821087570233377
Reverberation Time (T-10);0,34726806590758474;0,3176390529634106;0,39793804910444003;0,4305200714131756;0,44502992578956846;0,4301998181450339;0,43803322773913117;0,4405175911077751
Reverberation Time (T-15);0,3283459714674836;0,3098462342536523;0,3931790375053693;0,4416626315488624;0,4560218619933041;0,4310491666195533;0,4507625869842623;0,48670988959626116
Reverberation Time (T-20);0,340701817341776;0,3293754758608775;0,3886770082579225;0,44065495939528165;0,46424164071885987;0,43150717039924624;0,46078764414594586;0,5256239551554314
Reverberation Time (T-30);0,36793355774570696;0,3389472808875472;0,43883466421640765;0,4905247304037291;0,5506233033186811;0,4772586783079991;0,5008379963294877;0,638021186274199
Clarity - 50 ms (C-50);16,837843495489892;17,62285025600559;15,340898003828517;14,603545178966;13,786764821812781;14,164225419902072;13,712443885403061;12,972073980269618
Definition/Deutlichkeit (D);97,97085744256647;98,3006941249867;97,15949569667363;96,65147185090268;95,98640768711623;96,3081790537792;95,91995838169497;95,19801820259937
Clarity - 80 ms (C-80);21,800185084254714;22,35592983416183;19,42101331424966;18,176935333133116;17,373087720254173;18,012267986303353;17,340047549839607;16,16934854313663
Center Time (TS);4,153194441080735;3,7136756451855883;4,982770255557501;5,594499996982605;6,399743157523033;6,0613170735653155;6,551806951512042;7,906310995582523
Strength(G);15,669227520653216;15,643514799459282;15,732396160248086;15,720154018249133;15,77883701694384;15,75979649635368;15,822568626587852;16,083183120664614
Lateral Fraction(LF);5,958007622438011E-09;7,324350742949317E-08;2,588539237614778E-05;6,664934842480683E-05;7,101011837106821E-05;2,2688145802582488E-05;9,363519814769147E-06;3,245297205177338E-06
Lateral Efficiency(LE);2,689694900922302E-09;2,88755758618625E-08;1,1581528626989653E-05;3,233669627742382E-05;3,752326607150746E-05;1,1918417586784016E-05;4,836600589660437E-06;1,6411583651861318E-06
Receiver 2;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,4530918777774147;0,3916413556050226;0,5599856570288495;0,7703401146469522;0,767972891156439;0,9726842188665232;0,6387840896944642;0,363265659042336
Reverberation Time (T-10);0,3299694811884164;0,2671218313028812;0,35599183994785144;0,40799719474133483;0,43887362211506836;0,4062089555678743;0,41399021492236326;0,46469828235350036
Reverberation Time (T-15);0,3517898042824505;0,30840753149188016;0,3855442090696304;0,4380652066972973;0,46366192101620884;0,4259947174537619;0,442528631439274;0,5433933069176399
Reverberation Time (T-20);0,36956342050965063;0,3352683436013754;0,41958612967826525;0,4713452483281378;0,49524658442316216;0,45332820413436514;0,47983598273730027;0,6114751772290059
Reverberation Time (T-30);0,39408185231907517;0,3732460672324164;0,49177511848195093;0,5798003910098483;0,6155237536314719;0,5507848530748717;0,5910449750637309;0,7066714340516846
Clarity - 50 ms (C-50);17,389818605575627;19,286731208058075;16,942371265337094;16,470490848154334;15,757686336268357;16,47914247327068;16,149963425653226;13,957727907620008
Definition/Deutlichkeit (D);98,20870090811515;98,83523402887998;98,01815628977488;97,79570012829078;97,41269907861374;97,79999045494762;97,63085974963988;96,13534869425386
Clarity - 80 ms (C-80);21,962688414936014;23,78130444554277;20,857988414937584;19,851910245069885;19,193068472033957;20,09181334035845;19,501677560421896;16,95106833886832
Center Time (TS);3,381552224294426;2,568883528639347;3,5489439726162106;3,8341913390471154;4,290987582717726;3,7750897766034712;4,129411132026978;6,2622759176751455
Strength(G);19,62829555772901;19,563929957423625;19,612701177457765;19,594631338893826;19,622669372624244;19,570964482300454;19,63487795125642;19,894329266569386
Lateral Fraction(LF);5,0286974220623076E-09;5,468615875257517E-08;2,0199877042946783E-05;4,873027383500239E-05;5,165456530661115E-05;1,5717130893337048E-05;6,63327207486206E-06;2,687477739847526E-06
Lateral Efficiency(LE);1,8511696533201043E-09;1,7472731831110876E-08;7,3694788264325E-06;1,8815638865422155E-05;2,17240210522599E-05;6,1903532969667255E-06;2,5582681528764904E-06;1,0664846632924278E-06
Receiver 3;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,3045586650822142;0,23767243663557636;0,28596434927607584;0,27831373399376313;0,2991229048761219;0,2798363017801052;0,2880597135168131;0,36131215939557526
Reverberation Time (T-10);0,36976138395434993;0,2661113113817427;0,3658823384625555;0,40304312688212557;0,409914458633254;0,39899024550901296;0,4113688669364547;0,5257440067970496
Reverberation Time (T-15);0,3842569504354123;0,3279556582263517;0,4153816712256428;0,4643186216719533;0,48384999415036295;0,48062104783175463;0,4799973705124528;0,6118785010007771
Reverberation Time (T-20);0,39707238216353846;0,3563535282470119;0,45912799033242335;0,5244525524096743;0,5580448766019568;0,5500554004046937;0,533337403636808;0,6707145947895526
Reverberation Time (T-30);0,4133665354921676;0,39716698531157996;0,5404348854572777;0,6187870037057158;0,7072904721465294;0,6566329385725752;0,6524490426805207;0,7514170254070767
Clarity - 50 ms (C-50);14,81820021416783;17,45531023272051;15,182143350301674;14,621088841884207;14,46652399459294;14,908175241842859;14,589089942125844;12,07705912620167
Definition/Deutlichkeit (D);96,81039663801421;98,23729665829232;97,05883232441747;96,66626936120127;96,54872925015503;96,87212135750906;96,64206734916571;94,17288137443556
Clarity - 80 ms (C-80);19,51034987858964;22,120079313853175;19,218673650121016;18,223379902157298;17,923517999814344;18,26872125435604;18,070078565117342;15,026145665744542
Center Time (TS);5,360226415086728;3,5870767393849485;4,978671946976244;5,558549070530915;5,7699056369754675;5,254155008739926;5,534539856702031;9,178702415546585
Strength(G);20,040353945605347;19,875427739382356;19,93096265100524;19,94083150153166;19,927662709985654;19,857598165025728;19,91461380183489;20,42970585635257
Lateral Fraction(LF);9,762878525474043E-09;9,10716997015548E-08;3,555679341042212E-05;8,853415298195541E-05;9,136833118409042E-05;2,7646743269206344E-05;1,0911266718242034E-05;4,732300214959924E-06
Lateral Efficiency(LE);3,5478388499517986E-09;2,7381784086458877E-08;1,2398309271131232E-05;3,15812622008063E-05;3,2441223960608614E-05;9,299791100529842E-06;3,889874141383866E-06;1,8355281721437813E-06
Receiver 4;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,3249697391830419;0,2277917318933666;0,3008941227907055;0,3540853444607673;0,3464342351602678;0,3633221353489645;0,3617798664664912;0,4963191839863205
Reverberation Time (T-10);0,3983752436753029;0,3315958830192158;0,4207178442441076;0,47306814652919454;0,4779404055390728;0,4802143312398258;0,48208079758827227;0,6211037060258054
Reverberation Time (T-15);0,4030514744568182;0,3494508194993458;0,46802214929694397;0,5213187033486334;0,5491583899521989;0,5375207798700049;0,5443449881205293;0,6854323210067632
Reverberation Time (T-20);0,41316508150744125;0,3762737196406359;0,5187501135881393;0,5644092477443058;0,6241210405487133;0,582109062833544;0,5933082089389011;0,7312998700753351
Reverberation Time (T-30);0,42546707141092055;0,4113768949514667;0,5868676501827444;0,6764336940362393;0,7580224785902907;0,7090777866113075;0,703199973161824;0,7837301660323397
Clarity - 50 ms (C-50);11,906003559548568;13,978529266170492;11,935878897488884;11,134527557266606;11,102124820279148;11,195397482853702;11,250384491702876;8,963830628347207
Definition/Deutlichkeit (D);93,97073573529623;96,16939725389575;94,00967619774212;92,86763735904027;92,81177000977078;92,95488189446797;93,04904101119055;88,84625051794929
Clarity - 80 ms (C-80);16,624282597909065;19,006475353228225;16,087240495296584;14,9338300840744;14,732471706907385;14,764144378111144;14,70628728438992;12,166441596347418
Center Time (TS);10,144122985153544;7,561643280105915;10,280330902228167;11,509056137754994;11,822557049719054;11,291777100657749;11,486721019422802;17,09584112917393
Strength(G);17,21457779395886;16,93659163963159;17,1532307598031;17,190916495881304;17,19076196357237;16,99446672142767;17,03440969502573;17,829649017597575
Lateral Fraction(LF);2,043184363805246E-08;2,3512558734421034E-07;8,233809162144244E-05;0,00020009742124010393;0,00020810827195663186;6,117244843380637E-05;2,5047323080389088E-05;9,82965892262685E-06
Lateral Efficiency(LE);7,726748865197692E-09;6,849909461670247E-08;2,7132291455999482E-05;7,682183289369344E-05;7,333345968434868E-05;2,280793625673612E-05;9,075261503587014E-06;3,983933269999791E-06
Receiver 5;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,30886509939924106;0,27729647359417925;0,33571283977564126;0,3784652259805634;0,3987988489031124;0,3809006643034979;0,36971648847648964;0,4885321591264296
Reverberation Time (T-10);0,3660498764033535;0,3269383878525574;0,429514331224924;0,4501709688275397;0,4696584450833131;0,45451452499348305;0,4509527433381774;0,5938930605095181
Reverberation Time (T-15);0,3831325504499719;0,35083097607618907;0,46798599412539116;0,4843207457173011;0,5322390178599375;0,4937843735659042;0,5085415942131501;0,6559531554509755
Reverberation Time (T-20);0,40089483757485644;0,3726172985306719;0,501941640900716;0,5367166671992191;0,5986640752576873;0,5392251415648445;0,5663931549659625;0,7008583366936317
Reverberation Time (T-30);0,4164455444409669;0,39372784584582265;0,5476823876948591;0,6635745810772132;0,7409652119180792;0,6367992750925667;0,6928722419629287;0,7640698689591142
Clarity - 50 ms (C-50);12,312200506250743;13,717874272559289;11,342570800752643;10,66560062800101;10,515480635150954;10,712221901001183;10,851364933246037;8,662341822305807
Definition/Deutlichkeit (D);94,46274235019594;95,93781847041879;93,1729558037686;92,10114067383194;91,84874228923543;92,18124365311512;92,41151793138809;88,06760019563701
Clarity - 80 ms (C-80);16,974866326827883;18,479606644366836;15,507703939387241;14,69822492797402;14,377272209748568;14,735027768914495;14,756269061259095;12,013325770381458
Center Time (TS);10,661301642681922;8,928608103642288;12,221359578572073;13,647102619510521;14,113175340191221;13,614062621247939;13,696807634227305;18,84948134404737
Strength(G);14,055438327436956;13,83123413801151;14,169966532109846;14,334978749545968;14,381489628667325;14,253515440869748;14,229740011117762;14,661732143591365
Lateral Fraction(LF);2,1408305282457645E-08;2,5032482614529973E-07;9,196637867869549E-05;0,0002487994991490785;0,00024440242812191656;7,684315652519443E-05;2,9414276770359903E-05;1,0285989961369989E-05
Lateral Efficiency(LE);8,13860794888349E-09;8,978220620136438E-08;3,647580539659909E-05;0,00010520555529574917;0,0001033174531460208;3,199365756420627E-05;1,2771311889663928E-05;4,7584083563697446E-06
Receiver 6;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,332916182599511;0,36889102215422925;0,4823122643301768;0,5018138532787959;0,5063928278289666;0,4715502922568978;0,4727561338664102;0,44948508239861723
Reverberation Time (T-10);0,3127452120796349;0,3639610808890856;0,3880954346432112;0,4446974647801597;0,46639216813260315;0,45288664493104286;0,4552206688822997;0,4373282241006186
