Pachyderm Acoustic Simulation Results
Saved 22.12.2024 20:49:39
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,29224276410342936;0,27511701170145575;0,4511889162091675;0,5088234502220229;0,5187141782184632;0,4587287249369708;0,4536148971750555;0,4479722296564365
Reverberation Time (T-10);0,2968173329990688;0,3429832155714601;0,38926321260237806;0,41725755147072974;0,41555136542579063;0,39027841502115684;0,39172503845897155;0,3854876622679626
Reverberation Time (T-15);0,27240974360124637;0,2985208838617494;0,35140471816367985;0,38935126578282653;0,4081864657152582;0,3912713072279761;0,39208153957214203;0,3817037885524325
Reverberation Time (T-20);0,25790541649096;0,29347646832517255;0,36654886391270225;0,40597168160244673;0,42136210366006627;0,40504767242728995;0,40440902913777727;0,39740066192489043
Reverberation Time (T-30);0,27269344076764324;0,30695266431796897;0,36683947173859943;0,39370056028525324;0,4042738947213506;0,3886634145567228;0,3873096507425908;0,3894022952627874
Clarity - 50 ms (C-50);17,67467901936767;16,126042260494685;13,853652536830669;12,83040441335331;12,326866438927519;12,120859448020678;12,00994839047665;12,346848473218186
Definition/Deutlichkeit (D);98,32051456885715;97,61808607984432;96,04532344042362;95,0466786507693;94,4714175819523;94,21837819603984;94,07768141066765;94,4953993458495
Clarity - 80 ms (C-80);25,090137334929096;22,563183406527564;19,210927296242765;17,77441600265254;17,019776514113435;17,00737317557122;16,87393830465345;17,292333762141773
Center Time (TS);4,464754249735368;5,093329222990062;6,897498798674985;7,979760655297409;8,715930544494062;9,402038893763766;9,61881341639726;9,202576946869383
Strength(G);12,360655684753972;12,354507518189756;12,524230854435828;12,612689276995695;12,694385778891586;12,89465456193878;12,925835915340997;12,876553129471503
Lateral Fraction(LF);8,10309147086366E-09;9,649289243626885E-08;3,645413955742847E-05;9,781644919379383E-05;0,00010268824533463298;3,591552941500286E-05;1,4502140651199152E-05;4,5214936840843156E-06
Lateral Efficiency(LE);4,342865391885363E-09;5,422451490076318E-08;2,2696103014475257E-05;6,405062754342732E-05;6,773859437260008E-05;2,265140375209429E-05;9,162727159119186E-06;2,7893052421325317E-06
Receiver 1;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,28957917164460134;0,2585022862415018;0,31681358552891703;0,36597471624858885;0,36021306900027317;0,3694078976828097;0,373088185412989;0,3463084087958727
Reverberation Time (T-10);0,3243991535322971;0,32989390688617276;0,38739123297985617;0,4255219642333466;0,4497006600244588;0,41949112104926933;0,43636801870226466;0,4352553867868302
Reverberation Time (T-15);0,31494536107399335;0,31941911858896926;0,3950587791023763;0,439544449923856;0,45414767535993833;0,4255851025398014;0,4428329495857371;0,47128630644887864
Reverberation Time (T-20);0,32405542127221576;0,32750265544450596;0,4086344940903174;0,4630017701582448;0,48165475701805993;0,4421431680325321;0,46152416067828567;0,5165722158746522
Reverberation Time (T-30);0,34963050221319836;0,34237082226851945;0,44505505039196913;0,5053364934498608;0,5351017157458724;0,4710022747206815;0,4843612089038193;0,5986846087132676
Clarity - 50 ms (C-50);17,12306318168606;17,36212600601377;15,263125095759218;14,384801884466123;13,723751693103125;13,985295273937503;13,694133371814814;13,110376446701782
Definition/Deutlichkeit (D);98,09738415790916;98,19744882087127;97,10965359669365;96,48457607118884;95,93013605459191;96,15886304335365;95,90342617685062;95,34151804154722
Clarity - 80 ms (C-80);22,218997239491777;22,34342727016252;19,186310474685364;18,076993211508526;17,42501743499985;17,876543017710674;17,35830300351721;16,634820817723394
Center Time (TS);4,173968317275802;3,8798038624970963;5,2750587245294085;5,906283456524727;6,58202624314672;6,453281295097863;6,772210046706286;7,796096551582276
Strength(G);15,738432330512532;15,684241872255711;15,786229387274048;15,766157788844794;15,825896650584966;15,848344727217707;15,893591313992374;16,1398546449293
Lateral Fraction(LF);6,039761571663529E-09;7,286876331984814E-08;2,633935785872998E-05;6,924192937148463E-05;7,306522886534401E-05;2,412317444407982E-05;9,809081366517653E-06;3,3201722365180717E-06
Lateral Efficiency(LE);2,4166633709152304E-09;2,784463465999703E-08;1,1710322154148001E-05;3,211421210415387E-05;3,446821129921161E-05;1,1548275755052788E-05;4,632740167306975E-06;1,503182357525186E-06
